id,scope,sku,field,before,after,label
phase2-paint_protection_quick-Q2M-WCYA4000M-3,product,Q2M-WCYA4000M,template_sub_type,spray_rinse_sealant,spray_sealant,P1 merge: uygulama biçimi=spray; rinse=after-care flag
phase2-paint_protection_quick-79304-4,product,79304,template_sub_type,spray_rinse_sealant,spray_sealant,P1 merge: uygulama biçimi=spray; rinse=after-care flag
phase2-paint_protection_quick-700096-5,product,700096,template_sub_type,spray_wipe_sealant,spray_sealant,P1 merge: uygulama biçimi=spray; sub-variant flag specs içine
phase2-spare_part-81771871-subtype,product,81771871,template_sub_type,nozzle_kit,nozzle,P0 merge: nozzle_kit -> nozzle (semantik aynı)
phase2-spare_part-83371816-subtype,product,83371816,template_sub_type,trigger_gun,trigger_head,P0 merge: trigger_gun -> trigger_head (tetikli sprey kafa eşanlamlı)
phase2R-brushes-SGGD294-1,product,SGGD294,template_sub_type,wheel_brush,tire_brush,APPROVED: Ürün adı 'Tire Cleaning Brush' + targetSurface=Lastik mislabel fix
phase2R-glass-Q2M-GPYA1000M-2,product,Q2M-GPYA1000M,template_sub_type,glass_hydrophobic_sealant,glass_protectant,APPROVED: Simetri iyileşmesi — diğer protectant ürünleriyle tek sub_type
phase2Rfinal-userTur4Q3-532579-sub,product,532579,template_sub_type,other,heat_gun,User Tur4Q3: other → heat_gun
phase2Rfinal-userTur4Q3-SGGC055-sub,product,SGGC055,template_sub_type,other,tornador_gun,User Tur4Q3: other → tornador_gun
phase2Rfinal-userTur4Q3-SGGC086-sub,product,SGGC086,template_sub_type,other,air_blow_gun,User Tur4Q3: other → air_blow_gun
phase2Rfinal-userTur4Q3-SGGS003-sub,product,SGGS003,template_sub_type,other,air_blow_gun,User Tur4Q3: other → air_blow_gun
phase2Rfinal-userTur1Q1-Q2M-FCNA1000M-1,product,Q2M-FCNA1000M,template_sub_type,fabric_cleaner,fabric_leather_cleaner,User Tur1Q1: fabric_cleaner → fabric_leather_cleaner (kapsayıcı sub)
phase2Rfinal-userTur1Q1-70723-2,product,70723,template_sub_type,fabric_cleaner_concentrate,fabric_leather_cleaner,User Tur1Q1: fabric_cleaner_concentrate → fabric_leather_cleaner (kapsayıcı sub)
phase2Rfinal-userTur1Q1-71676-3,product,71676,template_sub_type,fabric_cleaner_concentrate,fabric_leather_cleaner,User Tur1Q1: fabric_cleaner_concentrate → fabric_leather_cleaner (kapsayıcı sub)
phase2Rfinal-userTur1Q1-73378-4,product,73378,template_sub_type,fabric_cleaner_concentrate,fabric_leather_cleaner,User Tur1Q1: fabric_cleaner_concentrate → fabric_leather_cleaner (kapsayıcı sub)
phase2Rfinal-userTur1Q1-75404-5,product,75404,template_sub_type,fabric_cleaner_concentrate,fabric_leather_cleaner,User Tur1Q1: fabric_cleaner_concentrate → fabric_leather_cleaner (kapsayıcı sub)
phase2Rfinal-userTur1Q23-Q2M-IPE4P-1,product,Q2M-IPE4P,template_sub_type,kit,cleaning_cloth,User Tur1Q23: kit → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q23-Q2M-GPE2P-2,product,Q2M-GPE2P,template_sub_type,kit,cleaning_cloth,User Tur1Q23: kit → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q23-Q2M-IWE40402P-3,product,Q2M-IWE40402P,template_sub_type,interior_cloth,cleaning_cloth,User Tur1Q23: interior_cloth → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q23-Q2M-LWE40402P-4,product,Q2M-LWE40402P,template_sub_type,interior_cloth,cleaning_cloth,User Tur1Q23: interior_cloth → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q23-3218-5,product,3218,template_sub_type,glass_cloth,cleaning_cloth,User Tur1Q23: glass_cloth → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q23-3218-1-6,product,3218-1,template_sub_type,glass_cloth,cleaning_cloth,User Tur1Q23: glass_cloth → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q23-Q2M-GWE4040-7,product,Q2M-GWE4040,template_sub_type,glass_cloth,cleaning_cloth,User Tur1Q23: glass_cloth → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q23-Q2M-WD4060C-8,product,Q2M-WD4060C,template_sub_type,glass_cloth,cleaning_cloth,User Tur1Q23: glass_cloth → cleaning_cloth (ana havuz)
phase2Rfinal-userTur1Q4-26942-tg,product,26942.099.001,template_group,accessory,microfiber,User Tur1Q4: accessory → microfiber (tek-ürünlü grup eritme)
phase2Rfinal-userTur1Q4-26942-sub,product,26942.099.001,template_sub_type,,buffing_cloth,User Tur1Q4: null → buffing_cloth (pasta sonrası silme bezi)
phase2Rfinal-userTur2Q2-75132-tg,product,75132,template_group,interior_cleaner,marin_products,User Tur2Q2: interior_cleaner → marin_products
phase2Rfinal-userTur2Q2-75132-sub,product,75132,template_sub_type,wood_cleaner,interior_detailer,User Tur2Q2: wood_cleaner → interior_detailer
phase2Rfinal-userTur2Q2-77192-tg,product,77192,template_group,interior_cleaner,marin_products,User Tur2Q2: interior_cleaner → marin_products
phase2Rfinal-userTur2Q2-77192-sub,product,77192,template_sub_type,wood_protector,interior_detailer,User Tur2Q2: wood_protector → interior_detailer
phase2Rfinal-userTur2Q3-700468,product,700468,template_sub_type,leather_conditioner,leather_dressing,User Tur2Q3: leather_conditioner → leather_dressing (besleme+koruma)
phase2Rfinal-userTur2Q3-Q2LCR500M,product,Q2-LCR500M,template_sub_type,leather_protectant,leather_dressing,User Tur2Q3: leather_protectant → leather_dressing (besleme+koruma)
phase2Rfinal-userTur2Q4-79292,product,79292,template_sub_type,oil_degreaser,surface_prep,User Tur2Q4: oil_degreaser → surface_prep (alkol bazlı yüzey temiz)
phase2Rfinal-userTur3Q1-373680-1,product,373680,template_sub_type,corded_rotary_polisher,rotary,User Tur3Q1: corded_rotary_polisher → rotary
phase2Rfinal-userTur3Q1-406813-2,product,406813,template_sub_type,corded_rotary_polisher,rotary,User Tur3Q1: corded_rotary_polisher → rotary
phase2Rfinal-userTur3Q1-SGGF179-3,product,SGGF179,template_sub_type,corded_rotary_polisher,rotary,User Tur3Q1: corded_rotary_polisher → rotary
phase2Rfinal-userTur3Q1-533019-4,product,533019,template_sub_type,cordless_rotary_polisher,rotary,User Tur3Q1: cordless_rotary_polisher → rotary
phase2Rfinal-userTur3Q2-418072-1,product,418072,template_sub_type,forced_rotation_polisher,dual_action_polisher,User Tur3Q2: forced_rotation_polisher → dual_action_polisher
phase2Rfinal-userTur3Q2-533020-2,product,533020,template_sub_type,forced_rotation_polisher,dual_action_polisher,User Tur3Q2: forced_rotation_polisher → dual_action_polisher
phase2Rfinal-userTur3Q2-418102-3,product,418102,template_sub_type,mini_cordless_polisher,dual_action_polisher,User Tur3Q2: mini_cordless_polisher → dual_action_polisher
phase2Rfinal-userTur3Q2-SGGF273-4,product,SGGF273,template_sub_type,mini_cordless_polisher,dual_action_polisher,User Tur3Q2: mini_cordless_polisher → dual_action_polisher
phase2Rfinal-userTur3Q3-418080-1,product,418080,template_sub_type,da_polisher,orbital,User Tur3Q3: da_polisher → orbital
phase2Rfinal-userTur3Q3-447129-2,product,447129,template_sub_type,da_polisher,orbital,User Tur3Q3: da_polisher → orbital
phase2Rfinal-userTur3Q3-533021-3,product,533021,template_sub_type,da_polisher,orbital,User Tur3Q3: da_polisher → orbital
phase2Rfinal-userTur3Q3-SGGF181-4,product,SGGF181,template_sub_type,da_polisher,orbital,User Tur3Q3: da_polisher → orbital
phase2Rfinal-userTur3Q4-701606,product,701606,template_group,glass_cleaner,glass_cleaner_protectant,User Tur3Q4: glass_cleaner → glass_cleaner_protectant (tg merge)
phase2Rfinal-userTur3Q4-74955,product,74955,template_group,glass_cleaner,glass_cleaner_protectant,User Tur3Q4: glass_cleaner → glass_cleaner_protectant (tg merge)
phase2Rfinal-userTur3Q5-SGGD402,product,SGGD402,template_group,storage_accessories,accessory,User Tur3Q5: storage_accessories → accessory (bahçe tabancası)
phase2Rfinal-userTur4Q1-75138-1,product,75138,template_sub_type,tire_gel,tire_dressing,User Tur4Q1: tire_gel → tire_dressing
phase2Rfinal-userTur4Q1-701908-2,product,701908,template_sub_type,tire_gel,tire_dressing,User Tur4Q1: tire_gel → tire_dressing
phase2Rfinal-userTur4Q1-Q2M-TEYA1000M-3,product,Q2M-TEYA1000M,template_sub_type,tire_gel,tire_dressing,User Tur4Q1: tire_gel → tire_dressing
phase2Rfinal-userTur4Q3-532579-tg,product,532579,template_group,polisher_machine,accessory,User Tur4Q3: polisher_machine → accessory
phase2Rfinal-userTur4Q3-SGGC055-tg,product,SGGC055,template_group,polisher_machine,accessory,User Tur4Q3: polisher_machine → accessory
phase2Rfinal-userTur4Q3-SGGC086-tg,product,SGGC086,template_group,polisher_machine,accessory,User Tur4Q3: polisher_machine → accessory
phase2Rfinal-userTur4Q3-SGGS003-tg,product,SGGS003,template_group,polisher_machine,accessory,User Tur4Q3: polisher_machine → accessory
phase2Rfinal-userTur5Q2-513547-01-tg,product,513547-01,template_group,polisher_machine,accessory,User Tur5Q2: polisher_machine → accessory
phase2Rfinal-userTur5Q2-513547-01-sub,product,513547-01,template_sub_type,mini_cordless_polisher,tool_kit,User Tur5Q2: mini_cordless_polisher → tool_kit
phase2Rfinal-userTur5Q3-530537-tg,product,530537,template_group,polisher_machine,accessory,User Tur5Q3: polisher_machine → accessory
phase2Rfinal-userTur5Q3-530537-sub,product,530537,template_sub_type,mini_cordless_polisher,blower,User Tur5Q3: mini_cordless_polisher → blower
phase2Rfinal-userTur5Q4-GPRO6555-tg,product,GPRO6555,template_group,polisher_machine,polishing_pad,User Tur5Q4: polisher_machine → polishing_pad
phase2Rfinal-userTur5Q4-GPRO6555-sub,product,GPRO6555,template_sub_type,mini_cordless_polisher,foam_pad,User Tur5Q4: mini_cordless_polisher → foam_pad
phase2Rfinal-washtools-3221A-RD-tem,product,3221A-RD,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-3225A-BL-tem,product,3225A-BL,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-3227B-tem,product,3227B,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-3227I-HD-tem,product,3227I-HD,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-3228R-tem,product,3228R,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-Q2M-STE-tem,product,Q2M-STE,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-Q2M-WME-tem,product,Q2M-WME,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-Q2M-WP-tem,product,Q2M-WP,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (yıkama eldiveni)
phase2Rfinal-washtools-70919-tem,product,70919,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (sentetik güderi)
phase2Rfinal-washtools-3213EMR-tem,product,3213EMR,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (kurulama havlusu)
phase2Rfinal-washtools-Q2M-SDE7090C-tem,product,Q2M-SDE7090C,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (kurulama havlusu)
phase2Rfinal-washtools-Q2M-SODE6080C-tem,product,Q2M-SODE6080C,template_group,microfiber,wash_tools,Phase 2R §14: microfiber → wash_tools (kurulama havlusu)
phase2Rfinal-washtools-SGGD004-tem,product,SGGD004,template_group,applicators,wash_tools,Phase 2R §14: applicators → wash_tools (yıkama süngeri)
phase2Rfinal-washtools-SGGD004-tem,product,SGGD004,template_sub_type,wash_sponge,wash_mitt,Phase 2R §14: wash_sponge → wash_mitt (user: mitt havuzu)
phase2Rfinal-washtools-SGGD135-tem,product,SGGD135,template_group,sprayers_bottles,wash_tools,Phase 2R §14: sprayers_bottles → wash_tools (foam lance)
phase2Rfinal-washtools-SGGD135-tem,product,SGGD135,template_sub_type,foaming_pump_sprayer,foam_tool,Phase 2R §14: foaming_pump_sprayer → foam_tool
phase2Rfinal-washtools-SGGC091-tem,product,SGGC091,template_group,sprayers_bottles,wash_tools,Phase 2R §14: sprayers_bottles → wash_tools (tornador foam gun)
phase2Rfinal-washtools-SGGC091-tem,product,SGGC091,template_sub_type,foaming_pump_sprayer,foam_tool,Phase 2R §14: foaming_pump_sprayer → foam_tool
phase2Rfinal-washtools-Q2M-WME-surface,product.specs,Q2M-WME,specs.target_surface,,wheel,User §14: jant yıkama eldiveni için target_surface=wheel
phase2Rfinal-meta-3217HS-5G-sub-mpc1,product,3217HS-5G,template_sub_type,multi_purpose_cloth,buffing_cloth,"User §14 ek: multi_purpose_cloth → buffing_cloth (paket ürün, pasta sonrası silme)"
phase2Rfinal-meta-3217HS-5W-sub-mpc2,product,3217HS-5W,template_sub_type,multi_purpose_cloth,buffing_cloth,"User §14 ek: multi_purpose_cloth → buffing_cloth (paket ürün, pasta sonrası silme)"
phase2Rfinal-meta-KLIN-3113AG-sub-mpc3,product,KLIN-3113AG,template_sub_type,multi_purpose_cloth,buffing_cloth,"User §14 ek: multi_purpose_cloth → buffing_cloth (paket ürün, pasta sonrası silme)"
phase2Rfinal-meta-Q2M-IPE4P-target_surface-ts1,product.specs,Q2M-IPE4P,specs.target_surface,,interior,User §14 meta: cleaning_cloth ayrımı için target_surface=interior
phase2Rfinal-meta-Q2M-GPE2P-target_surface-ts2,product.specs,Q2M-GPE2P,specs.target_surface,,glass,User §14 meta: cleaning_cloth ayrımı için target_surface=glass
phase2Rfinal-meta-Q2M-IWE40402P-target_surface-ts3,product.specs,Q2M-IWE40402P,specs.target_surface,,interior,User §14 meta: cleaning_cloth ayrımı için target_surface=interior
phase2Rfinal-meta-Q2M-LWE40402P-target_surface-ts4,product.specs,Q2M-LWE40402P,specs.target_surface,,leather,User §14 meta: cleaning_cloth ayrımı için target_surface=leather
phase2Rfinal-meta-3218-target_surface-ts5,product.specs,3218,specs.target_surface,,glass,User §14 meta: cleaning_cloth ayrımı için target_surface=glass
phase2Rfinal-meta-3218-1-target_surface-ts6,product.specs,3218-1,specs.target_surface,,glass,User §14 meta: cleaning_cloth ayrımı için target_surface=glass
phase2Rfinal-meta-Q2M-GWE4040-target_surface-ts7,product.specs,Q2M-GWE4040,specs.target_surface,,glass,User §14 meta: cleaning_cloth ayrımı için target_surface=glass
phase2Rfinal-meta-Q2M-WD4060C-target_surface-ts8,product.specs,Q2M-WD4060C,specs.target_surface,,glass,User §14 meta: cleaning_cloth ayrımı için target_surface=glass
phase2Rfinal-meta-3219-purpose-pp1,product.specs,3219,specs.purpose,,heavy_duty,User §14 meta: Green Monster zorlu yağ/kir için
phase2Rfinal-meta-Q2M-WD4060C-secondary_use-su1,product.specs,Q2M-WD4060C,specs.secondary_use,,drying,User §14 meta: Waffle Dryer cam silme + kurulama ikili kullanım
phase2Rfinal-meta-Q2M-IPE4P-is_kit-ik1,product.specs,Q2M-IPE4P,specs.is_kit,,true,User §14 meta: InteriorPack 4'lü — kit işareti
phase2Rfinal-meta-Q2M-IPE4P-pack_size-ps1,product.specs,Q2M-IPE4P,specs.pack_size,,4,User §14 meta: InteriorPack 4'lü — adet=4
phase2Rfinal-meta-Q2M-GPE2P-is_kit-ik2,product.specs,Q2M-GPE2P,specs.is_kit,,true,User §14 meta: GlassPack 2'li — kit işareti
phase2Rfinal-meta-Q2M-GPE2P-pack_size-ps2,product.specs,Q2M-GPE2P,specs.pack_size,,2,User §14 meta: GlassPack 2'li — adet=2
phase2Rfinal-meta-3217HS-5G-is_kit-ik3,product.specs,3217HS-5G,specs.is_kit,,true,User §14 meta: KLIN Zero Finish 5'li Gri — kit işareti
phase2Rfinal-meta-3217HS-5G-pack_size-ps3,product.specs,3217HS-5G,specs.pack_size,,5,User §14 meta: KLIN Zero Finish 5'li Gri — adet=5
phase2Rfinal-meta-3217HS-5W-is_kit-ik4,product.specs,3217HS-5W,specs.is_kit,,true,User §14 meta: KLIN Zero Finish 5'li Beyaz — kit işareti
phase2Rfinal-meta-3217HS-5W-pack_size-ps4,product.specs,3217HS-5W,specs.pack_size,,5,User §14 meta: KLIN Zero Finish 5'li Beyaz — adet=5
phase2Rfinal-meta-KLIN-3113AG-is_kit-ik5,product.specs,KLIN-3113AG,specs.is_kit,,true,User §14 meta: KLIN Clean Towel 10'lu — kit işareti
phase2Rfinal-meta-KLIN-3113AG-pack_size-ps5,product.specs,KLIN-3113AG,specs.pack_size,,10,User §14 meta: KLIN Clean Towel 10'lu — adet=10
phase2Rfinal-meta-26942.099.001-is_kit-ik6,product.specs,26942.099.001,specs.is_kit,,true,User §14 meta: MENZERNA 4'lü set — kit işareti
phase2Rfinal-meta-26942.099.001-pack_size-ps6,product.specs,26942.099.001,specs.pack_size,,4,User §14 meta: MENZERNA 4'lü set — adet=4
phase2Rfinal-suedefix-Q2M-SEP1010C-tg,product,Q2M-SEP1010C,template_group,microfiber,applicators,User fix: Suede EVO seramik aplikatörü → applicators grubu
phase2Rfinal-suedefix-Q2M-SEP1010C-sub,product,Q2M-SEP1010C,template_sub_type,suede_cloth,applicator_pad,"User fix: suede_cloth → applicator_pad (seramik uygulama bezi, silme değil)"
phase2Rfinal-suedefix-Q2M-SEP1010C-surface,product.specs,Q2M-SEP1010C,specs.target_surface,,paint,User fix: seramik kaplama uygulama hedefi
phase2Rfinal-suedefix-Q2M-SEP1010C-is_kit,product.specs,Q2M-SEP1010C,specs.is_kit,,true,User fix: Suede EVO 10lu paket
phase2Rfinal-suedefix-Q2M-SEP1010C-pack_size,product.specs,Q2M-SEP1010C,specs.pack_size,,10,User fix: 10lu paket adet
phase2Rfinal-applifix-Q2M-SPE-tem-1,product,Q2M-SPE,template_sub_type,scrub_pad,applicator_pad,User fix: Gyeon Scrubpad → applicator_pad (purpose=cleaning)
phase2Rfinal-applifix-3236NBR2-tem-2,product,3236NBR2,template_group,microfiber,applicators,User fix: KLIN Scrubpad microfiber → applicators
phase2Rfinal-applifix-3236NBR2-tem-3,product,3236NBR2,template_sub_type,interior_cleaning_applicator,applicator_pad,User fix: KLIN Scrubpad → applicator_pad (purpose=cleaning)
phase2Rfinal-applifix-SGGD190-tem-4,product,SGGD190,template_sub_type,cleaning_sponge,applicator_pad,"User fix: Magic Sponge → applicator_pad (purpose=cleaning, melamin silgi)"
phase2Rfinal-applipurpose-Q2M-MFAE-1,product.specs,Q2M-MFAE,specs.purpose,,coating_application,User §14 meta: applicator_pad purpose=coating_application
phase2Rfinal-applipurpose-3224M-2,product.specs,3224M,specs.purpose,,coating_application,User §14 meta: applicator_pad purpose=coating_application
phase2Rfinal-applipurpose-3229-3,product.specs,3229,specs.purpose,,coating_application,User §14 meta: applicator_pad purpose=coating_application
phase2Rfinal-applipurpose-Q2M-SEP1010C-4,product.specs,Q2M-SEP1010C,specs.purpose,,coating_application,User §14 meta: applicator_pad purpose=coating_application
phase2Rfinal-applipurpose-SGGD188-02-5,product.specs,SGGD188-02,specs.purpose,,coating_application,User §14 meta: applicator_pad purpose=coating_application
phase2Rfinal-applipurpose-3235-6,product.specs,3235,specs.purpose,,coating_application,User §14 meta: applicator_pad purpose=coating_application
phase2Rfinal-applipurpose-11075-RE-7,product.specs,11075-RE,specs.purpose,,coating_application,User §14 meta: applicator_pad purpose=coating_application
phase2Rfinal-applipurpose-Q2M-SPE-8,product.specs,Q2M-SPE,specs.purpose,,cleaning,User §14 meta: applicator_pad purpose=cleaning
phase2Rfinal-applipurpose-3236NBR2-9,product.specs,3236NBR2,specs.purpose,,cleaning,User §14 meta: applicator_pad purpose=cleaning
phase2Rfinal-applipurpose-SGGD190-10,product.specs,SGGD190,specs.purpose,,cleaning,User §14 meta: applicator_pad purpose=cleaning
phase2Rfinal-applisurf-Q2M-SPE-1,product.specs,Q2M-SPE,specs.target_surface,,interior,User §14 meta: scrub/sponge temizlik deri+plastik iç mekan
phase2Rfinal-applisurf-3236NBR2-2,product.specs,3236NBR2,specs.target_surface,,interior,User §14 meta: scrub/sponge temizlik deri+plastik iç mekan
phase2Rfinal-applisurf-SGGD190-3,product.specs,SGGD190,specs.target_surface,,interior,User §14 meta: scrub/sponge temizlik deri+plastik iç mekan
phase2Rfinal-userfix-71490-sub,product,71490,template_sub_type,prewash_foaming_shampoo,ph_neutral_shampoo,User fix: FRA-BER Neve — cilalı parfümlü ana yıkama (ön yıkama değil)
phase2Rfinal-towelwash-Q2M-TWYA500M-tg,product,Q2M-TWYA500M,template_group,car_shampoo,wash_tools,User fix: GYEON TowelWash 500ml bez/havlu yıkama şampuanı → wash_tools (araç şampuanı değil)
phase2Rfinal-towelwash-701422-tg,product,701422,template_group,car_shampoo,wash_tools,User fix: INNOVACAR SM MICRON Shampoo 1000ml bez/havlu yıkama şampuanı → wash_tools (araç şampuanı değil)
phase2Rfinal-sparedissolve-26931.099.001-A1-tg,product,26931.099.001,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-26931.099.001-A1-pt,product.specs,26931.099.001,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-26934.099.001-A2-tg,product,26934.099.001,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-26934.099.001-A2-pt,product.specs,26934.099.001,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-26935.099.001-A3-tg,product,26935.099.001,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-26935.099.001-A3-pt,product.specs,26935.099.001,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-487988-A4-tg,product,487988,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-487988-A4-pt,product.specs,487988,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-492361-A5-tg,product,492361,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-492361-A5-pt,product.specs,492361,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-SGGD053-A6-tg,product,SGGD053,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-SGGD053-A6-pt,product.specs,SGGD053,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-SGGD166-A7-tg,product,SGGD166,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-SGGD166-A7-pt,product.specs,SGGD166,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-SGGF181-57-A8-tg,product,SGGF181-57,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=backing_plate korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-SGGF181-57-A8-pt,product.specs,SGGF181-57,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-445894-A9-tg,product,445894,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=battery korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-445894-A9-pt,product.specs,445894,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
phase2Rfinal-sparedissolve-336807-A10-tg,product,336807,template_group,spare_part,polisher_machine,"§15: spare_part → polisher_machine (sub=carbon_brush korunur, makine aksesuarı)"
phase2Rfinal-sparedissolve-336807-A10-pt,product.specs,336807,specs.product_type,,accessory,§15 meta: polisher_machine accessory (search ayrımı için)
