sku,howToUse,whenToUse,whyThisProduct
Q2M-CMP1000M,"1. Hazırlık: Araç yüzeyini yıkayın ve kil temizliği yapın. Yüzeyin serin olduğundan emin olun.
2. Makine & Ped Seçimi: Rotary veya Orbital polisaj makineleriyle kullanılabilir.
 - Önerilen Ped: GYEON Q²M Eccentric Cut veya ağır kesim sünger ped
3. Ürün Miktarı: Pede 3-4 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Makineyi düşük hızda başlatarak pastayı yüzeye yayın.
 - Rotary: Kademe 3-4
 - Orbital: Kademe 4-5
5. Çalışma: Yüzeyde kesim gerçekleşene kadar çalışın. Ürün uzun süre etkili kalır.
6. Temizlik: Yumuşak mikrofiber bezle kolayca silinir.
7. Sonraki Adım: GYEON Q²M Polish ile devam ederek bitiş kalitesini artırın.","P1200 ve üzeri zımpara izlerini gidermek, ağır oksidasyon ve derin çizikleri düzeltmek için kullanılır. Matlaşmış ve yorgun yüzeyleri yeniden hayata döndürmek için idealdir. Seramik kaplama öncesi boya hazırlık adımı olarak da kullanılır. Profesyonel detailing atölyeleri için geliştirilmiş bir ürün olup, başlı başına bir boya restorasyon işlemi sunar.","• Gyeon'un en güçlü kesim pastası - maksimum 10/10 aşındırma gücü.
• P1200 ve üzeri zımpara izlerini hızla giderir.
• Sıfır dolgu ve silikon - gördüğünüz sonuç gerçektir.
• Optimize edilmiş düşük tozlanma - temiz çalışma ortamı.
• Geliştirilmiş uzun çalışma süresi - tutarlı sonuçlar ve az ürün tüketimi.
• Su bazlı formül - kolay silinir, pedlerin ömrünü uzatır."
Q2M-CMPR1000M,"1. Hazırlık: Araç yüzeyini yıkayın ve kil temizliği yapın. Yüzeyin serin olduğundan emin olun.
2. Makine & Ped Seçimi: Rotary veya Orbital polisaj makineleriyle kullanılabilir.
 - Önerilen Ped: GYEON Q²M Eccentric Cut veya ağır kesim sünger ped
3. Ürün Miktarı: Pede 3-4 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Düşük hız ve düşük sıcaklıkta çalışarak en iyi sonuçları alın.
 - Rotary: Kademe 2-3
 - Orbital: Kademe 3-4
5. Çalışma: Uzun çalışma süresi sayesinde kurumadan etkili çalışır.
6. Temizlik: Yumuşak mikrofiber bezle kolayca silinir - neredeyse toz bırakmaz.
7. Sonraki Adım: Hafif hologram kalırsa GYEON Q²M Polish ile devam edin.","Ağır boya kusurlarını minimum sürede ortadan kaldırmak için kullanılır. Gyeon serisinin en aşındırıcı pastası olup, profesyonel detailing atölyeleri için idealdir. Özellikle yüksek sıcaklık ve nemli iklimlerde çalışmak için formüle edilmiştir. Seramik kaplama öncesi boya hazırlığı için de kullanılır. REDEFINED versiyonu, önceki versiyona göre daha fazla kesim gücü ve çok daha yüksek parlaklık sunar.","• Gyeon'un en aşındırıcı ve güçlü kesim pastası - 10/10 kesim gücü.
• REDEFINED formül - 8/10 parlaklık ile daha az bitiş adımı gerektirir.
• Neredeyse hiç toz bırakmaz - temizlik süresi minimuma iner.
• Yüksek kaliteli Japon aşındırıcıları - premium performans.
• Uzun çalışma süresi - sıcak ve nemli iklimlerde bile kurumadan çalışır.
• Silikonsuz formül - seramik kaplama hazırlığı için ideal."
Q2M-CM1000M,"1. Hazırlık: Araç yüzeyini yıkayın ve kil temizliği yapın. Yüzeyin serin olduğundan emin olun.
2. Makine & Ped Seçimi: Özellikle Orbital (eccentric) makinelerle tek adımda mükemmel sonuçlar alınır.
 - Daha Fazla Kesim: GYEON Q²M Eccentric Cut ped
 - Daha Parlak Bitiş: GYEON Q²M Eccentric Polish ped
3. Ürün Miktarı: Pede 2-3 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Makineyi orta hızda çalıştırın.
 - Orbital: Kademe 4-5
 - Rotary: Kademe 2-3
5. Çalışma: Kesim ve parlaklık dengesini ped seçimiyle ayarlayın. Şeffaf film kalana kadar çalışın.
6. Temizlik: Neredeyse hiç toz bırakmaz - yumuşak mikrofiber bezle kolayca silinir.
7. Kontrol: Tek adımda tatmin edici sonuç alınamadıysa, daha agresif ped veya Compound+ kullanın.","Derin olmayan girdap izleri (swirl mark), hafif çizikler ve asit lekeleri gibi orta ve ağır seviyedeki boya kusurlarını tek adımda gidermek için kullanılır. Orbital polisaj makinesiyle doğru ped kombinasyonunda hem çizik giderme hem de yüksek parlaklık sağlayabilir. Zaman tasarrufu arayan profesyoneller ve hobiciler için ideal bir çok yönlü pasta.","• Tek adımda hem kesim hem parlaklık - 8/8 dengeli performans.
• Çok yönlü kullanım - orta ve ağır kusurlarda etkili.
• Neredeyse hiç toz bırakmaz - temiz çalışma ortamı.
• Yüksek kaliteli Japon aşındırıcıları - hassas öğütülmüş formül.
• Orbital makinelerde üstün sonuç - tek adımda boya düzeltme potansiyeli.
• Silikonsuz formül - seramik kaplama hazırlığı için uygun."
Q2M-PO1000M,"1. Hazırlık: Önceki polisaj adımından sonra yüzeyin temiz olduğundan emin olun.
2. Makine & Ped Seçimi: Rotary ve Orbital polisaj makineleriyle kullanılabilir.
 - Önerilen Ped: GYEON Q²M Eccentric Polish veya finishing foam pad
3. Ürün Miktarı: Pede 2-3 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Yüksek devir veya sıcaklık gerektirmez.
 - Rotary: Kademe 2-3
 - Orbital: Kademe 3-4
5. Çalışma: Şeffaf bir film oluşana kadar çalışın.
6. Temizlik: Su bazlı formül sayesinde kolayca silinir.
7. Sonuç: Hologramsız, derin ve parlak bir yüzey elde edin.",Compound sonrası hologram ve makine izlerini gidermek için kullanılır. Hafif ve orta seviyedeki boya kusurlarını düzeltirken olağanüstü parlaklık sağlar. Daha önce boya düzeltme görmüş ancak canlandırmaya ihtiyaç duyan araçlarda tek adımda tazeleme için idealdir. Seramik kaplama öncesi final adımı olarak da kullanılabilir.,"• Hologramsız derin parlaklık - 6/10 kesim ile 10/10 parlaklık dengesi.
• Tek adımda tazeleme potansiyeli - zaten düzeltilmiş araçları canlandırmak için ideal.
• Yüksek kaliteli Japon aşındırıcıları - premium performans.
• Sıfır dolgu ve silikon - kalıcı ve dürüst sonuçlar.
• Su bazlı formül - yüksek devir gerektirmez, kolay silinir."
22200.261.001,"1. Hazırlık: Araç yüzeyini detaylıca yıkayın ve gerekirse kil temizliği yapın. Hassas trimleri maskeleme bantları ile koruyun.
2. Makine & Ped Seçimi: Rotary veya Orbital polisaj makineleriyle kullanılabilir.
   - Maksimum Kesim: Kuzu postu keçe
   - Dengeli Kesim: Sert Sünger Ped
3. Ürün Miktarı: Pede 2-3 nohut tanesi büyüklüğünde ürün uygulayın.
4. Uygulama: Makineyi düşük hızda başlatarak pastayı yüzeye yayın. Ardından hızı kademeli olarak artırın.
5. Çalışma: Yüzeyde şeffaf bir film kalana kadar çalışın. Toz yapmaz, kokusuz çalışır.
6. Temizlik: Yumuşak mikrofiber bezle kalıntıları silin.
7. Avantaj: Kapalı alanlarda havalandırma sorunu olmadan çalışabilirsiniz.",Kapalı atölye ortamlarında sağlık ve güvenlik öncelikli çalışma gerektiğinde kullanılır. VOC (Uçucu Organik Bileşik) içermez ve kokusuz olduğundan havalandırmanın kısıtlı olduğu ortamlarda idealdir. Ağır çizikleri ve zımpara izlerini tek adımda giderirken 8/8 kesim/parlaklık dengesi sunar. Sağlığını ön planda tutan profesyoneller için özel olarak geliştirilmiştir.,"• VOC-İçermez formül - DIN EN ISO 11890-2 standartlarına uygun sağlık dostu yapı.
• Kokusuz ve tozsuz çalışma - kapalı atölyelerde bile konforlu uygulama.
• 8/8 kesim/parlaklık dengesi - tek adımda hem düzeltme hem bitiş.
• Sağlık bilinçli profesyoneller için - uzun vadeli sağlık riskini minimize eder.
• Silikonsuz ve dolgusuz - gördüğünüz sonuç gerçektir.
• 1 lt ekonomik paket - yoğun kullanım için ideal."
22202.260.001,"1. Hazırlık: Araç yüzeyini detaylıca yıkayın. Hassas trimleri maskeleme bantları ile koruyun.
2. Ped Seçimi: Kuzu postu keçe veya Sert Sünger Ped.
3. Uygulama: Makineyi düşük hızda başlatarak pastayı yayın, ardından hızı artırın.
4. Çalışma: Şeffaf film kalana kadar çalışın.
5. Temizlik: Mikrofiber bezle silin.","Zımpara izlerini hızlıca ortadan kaldırmak, tek adımda hem çizik gidermek hem parlaklık elde etmek için kullanılır.","• 8/8 kesim/parlaklık dengesi
• Düşük tozuma, geliştirilmiş yayılım
• Silikonsuz formül
• 1 Kg profesyonel boyut - yoğun atölye kullanımı için ekonomik"
22984.281.001,"1. Hazırlık: Araç yüzeyini yıkayın ve kil temizliği yapın.
2. Makine: Sadece Rotary polisaj makinesi ile kullanın.
3. Ped: Doğal Kuzu Postu Keçe veya Ağır Kesim Sünger.
4. Uygulama: Düşük hızda yayın, orta hıza çıkın.
5. Temizlik: Mikrofiber bezle silin.","Boya düzeltme işleminin ilk adımı için, yoğun zımpara izleri ve derin çizikleri hızla gidermek için kullanılır.","• 9/10 kesim gücü - fiyat/performans şampiyonu
• Düşük tozuma
• Silikonsuz formül
• 250 ml pratik boyut - deneme için ideal"
22828.261.001,"1. Hazırlık: Yüzeyin temiz ve serin olduğundan emin olun.
2. Ped: Menzerna Sarı Ara Kat Pedi veya Yeşil Final Pedi.
3. Uygulama: Düşük hızda başlayıp orta hıza çıkın.
4. Çalışma: Şeffaf film kalana kadar çalışın.
5. Temizlik: Mikrofiber bezle silin.","Yumuşak ve hassas boyalarda, mikro-çizilme riski olmadan düzeltme ve parlaklık için kullanılır. One-step polisaj için ideal.","• Diminishing aşındırıcılar - mikro-çizilme riski yok
• 5/10 kesim, 7/10 parlaklık - one-step potansiyeli
• Silikonsuz formül
• 1 lt profesyonel boyut"
22992.261.001,"1. Hazırlık: Önceki polisaj sonrası yüzeyin temiz olduğundan emin olun.
2. Ped: Menzerna Yeşil Final Pedi veya ultra yumuşak sünger.
3. Uygulama: Düşük hızda, hafif basınçla çalışın.
4. Temizlik: Ultra yumuşak mikrofiber bezle silin.","Show car parlaklığı, P3000 izleri giderme, koruma öncesi final için kullanılır.","• Show Car kalitesinde parlaklık
• P3000 izlerini giderir
• 2/10 kesim, 10/10 parlaklık
• 1 lt profesyonel boyut"
Q2M-GP250M,"1. Hazırlık: Cam yüzeyini kaba kirlerden ve gevşek kirlerden iyice arındırın.
2. Uygulama: Ürünü bir cam pastalama pad'ine veya aplikatörüne uygulayın; elle ya da makine ile kullanılabilir.
3. Çalışma: Cam yüzeyinde dairesel hareketlerle, hafif bir sis (haze) kalana kadar eşit şekilde çalıştırarak lekeleri giderin.
4. Temizlik: Temiz bir mikrofiber bez ile kalıntıyı silerek çıkarın.
5. Sonraki Adım: Gerekiyorsa cam koruma (ör. GYEON Q² View) ile devam edin.","Cam yüzeylerinde kireç izleri, su lekeleri ve hafif silecek izlerini gidermek için kullanılır. Cam kaplama öncesi yüzey hazırlığı için ideal.","• Maksimum temizleme gücü - kireç ve su izlerini giderir
• Cam kaplama için bağlayıcı ajan içerir
• Düşük tozlanma
• 250 ml profesyonel boyut"
Q2M-PPR1000M,"1. Hazırlık: PPF yüzeyini GYEON Q²M PPF Wash ile temizleyin ve iyice kurutun.
2. Ped & Ürün: Orbital polisaj süngerleri kullanın; aplikatöre veya pede az miktarda ürün uygulayın.
3. Uygulama: Hafif basınçla, minimum-orta devirlerde elle veya makineyle yüzey üzerinde çalışın. PPF'yi aşırı ısıtmayın!
4. Temizlik: Temiz bir mikrofiber bezle kalıntıyı silerek çıkarın.
5. Ağır Hasar: Ağır hasarlı bölgelerde gerekirse işlemi tekrarlayın.","PPF donuklaştığında, kirlendiğinde veya ilk kayganlığını kaybettiğinde kullanılır. SiO2 koruması sağlar.","• Dünyanın ilk SiO2 PPF bakım ürünü
• Parlaklık ve kayganlık geri kazandırır
• UV ve kimyasal dayanım
• 1000 ml profesyonel boyut"
700209,"1. Seyreltme: 1 kısım ürün + 3 kısım su ile seyreltin (opsiyonel, saf da kullanılabilir).
2. Uygulama: Püskürtücü ile yüzeyden 20 cm uzaktan eşit şekilde püskürtün.
3. Yayma: Mikrofiber bez ile eşit şekilde yayın.
4. Silme: Fazla ürünü silin.","Araç içi plastik, deri, vinil ve kauçuk yüzeylerde tek adımda temizlik, besleme ve koruma için kullanılır. Yoğun atölye kullanımı için ekonomik konsantre boyut.","• Konsantre ekonomi - 1:3 seyreltme ile 18 lt ürün
• Çift etki - temizler ve korur
• Antistatik + UV bariyeri
• Mat-saten bitiş, yağsız
• Vanilya aroması
• 4,54 lt profesyonel bidon"
