sku,question,answer
_BRAND:menzerna:polishing,Pasta öncesi maskelemeyi nasıl doğru yaparım ve nelere dikkat etmeliyim?,"Pasta işleminden önce plastikler, camlar, metaller vb. maskelenmelidir. Maskeleme bandı pasta işlemine uygun olmalı ve yapıştırıcısı ısıya maruz kaldığında çözülmemelidir. Pasta/koruma işleminden hemen sonra maskeleme bandını çıkarın."
_BRAND:menzerna:professional,Detailing nedir?,"Detailing, bir nesnenin yenilenmesi/iyileştirilmesi işlemini ifade eder. Birçok adım araç, tekne ve diğer nesnelerin durumunu iyileştirebilir. Detailing; yıkama, pastalama, koruma ve yüzey bakımı gibi birçok farklı adımı kapsar."
_BRAND:menzerna:professional,Araç detailing nedir?,"Araç detailing, araçları eski görkemine kavuşturma işlemidir. Araç nazikçe yıkanır, pastalanır ve korunur; çizikler ve kozmetik hasarlar onarılır. Araç detailing'in amacı; aracın durumunu iyileştirmek ve değerini artırmaktır."
_BRAND:menzerna:professional,Profesyonel araç detailing ne kadara mal olur?,"Profesyonel araç detailing, iş kapsamına ve müşteri taleplerine bağlı olarak €200 ile €1.000 arasında değişebilir. Fiyat her zaman sunulan hizmetlere göre belirlenir (tek aşamalı vs çok aşamalı pasta, cila vs seramik kaplama ...)."
_BRAND:menzerna:professional,Menzerna pasta eğitimi / kursu sunuyor mu?,"Menzerna, farklı ülkelerde hem pastaya yeni başlayanlar hem de profesyonel detailer'lar için pasta eğitim kursları sunmaktadır. Bu kurslar yetkili Menzerna eğitmenleri tarafından verilmektedir."
_BRAND:menzerna:professional,Menzerna ürünleriyle yapılan pasta eğitim kursunun ücreti ne kadar?,"Almanya'da bir günlük Menzerna eğitim kursu, Menzerna başlangıç seti ve yemek dahil kişi başı €249'dur. Fiyatlar diğer ülkelerde değişiklik gösterebilir. Fiyatlar için lütfen doğrudan sertifikalı Menzerna eğitmeninizle iletişime geçin."
_BRAND:menzerna:pads,Ne tür pasta padleri mevcut?,"Pasta padleri genel olarak sünger (foam) padler, mikrofiber padler ve kuzu yünü (lambswool) pasta padleri olarak ayrılır. Menzerna; farklı sertlik derecelerinde sünger pasta padleri ile orbital ve rotary pasta makineleri için çeşitli kuzu yünü padler sunmaktadır. Pasta padleri farklı boyutlarda mevcuttur."
_BRAND:menzerna:pads,Zımpara padi ile pasta padi arasındaki fark nedir?,"Zımpara padi özellikle zımparalama için tasarlanmıştır ve malzeme kaldırma için aşındırıcı grit içerir. Zımpara padleri farklı grit boyutlarında mevcuttur.
Pasta padi ise özellikle pasta için tasarlanmıştır ve genellikle sünger malzemeden üretilir; serten çok yumuşağa kadar farklı sertlik derecelerinde seçenekler vardır. Ayrıca kuzu yünü pasta padleri ve mikrofiber padler de bulunmaktadır."
_BRAND:menzerna:pads,Doğru pasta padini nasıl seçerim?,"Hangi pasta padinin uygun olduğu; yüzey yapısına, boya türüne, makine tipine ve seçilen pastaya bağlıdır. Menzerna, her pastası için doğru pasta padlerini sunar. Öneriler her ürünün detay sayfasında mevcuttur."
_BRAND:menzerna:pads,Doğru backing plate'i (taban plakası) nasıl seçerim?,"Backing plate'ler rotary pasta makineleri ile kullanılır. Menzerna, pasta padi boyutuna göre üç farklı ebatta backing plate sunar. Pasta padinin her zaman backing plate'ten büyük olması gerektiğini unutmamak önemlidir."
_BRAND:menzerna:pads,Menzerna padleri ile kaç araca pasta yapabilirim?,"Menzerna premium padleri ile yaklaşık 20 araca pasta yapılabilir. Ancak pasta padlerinin iyice temizlenmesi gerekir. Menzerna Premium Padler farklı boyutlarda mevcuttur: Heavy Cut Foam Pad, Medium Cut Foam Pad, Soft Cut Foam Pad, Wax Foam Pad."
_BRAND:menzerna:pads,Menzerna pastaları için hangi padleri kullanmalıyım?,"Menzerna premium padleri, pasta etiketleriyle renk uyumludur. Önerilen pasta aksesuarlarını web sitesindeki her ürünün detay sayfasında bulabilirsiniz."
_BRAND:menzerna:pads,Pasta padine ne kadar pasta uygulanmalı?,"Menzerna pastaları ve 40 cm × 40 cm'lik bir yüzey için öneri:
- 95 mm çapındaki pad: 3 ila 4 bezelye büyüklüğünde damla
- 150 mm çapındaki pad: 5 bezelye büyüklüğünde damla
- 180 mm çapındaki pad: 6 ila 7 bezelye büyüklüğünde damla"
_BRAND:menzerna:pads,Pasta padini temizlemek için hangi seçenekler var?,Sünger pasta padleri elle temiz suyla yıkanabilir. Alternatif olarak bir kova da kullanılabilir. Lütfen unutmayın: Kuzu yünü (lambswool) pasta padleri asla suyla durulanmamalıdır. Bunun yerine bir kuzu yünü fırçası veya hava tabancası ile temizlenmelidir.
_BRAND:menzerna:sealants,Power Lock'un kullanım ömrü nedir ve nasıl çıkarılır?,Power Lock'un yaklaşık altı ay kullanım ömrü vardır ve Heavy Cut Foam Pad ile birlikte bir Heavy Cut pasta (örneğin HCC400) kullanılarak çıkarılabilir.
_BRAND:menzerna:sealants,Menzerna Power Lock'u nasıl kullanırım?,"Power Lock, düşük devir hızı ve düşük basınçla Wax Foam Pad kullanılarak boya üzerine eşit şekilde dağıtılmalıdır. Yüzey şeffaflaşana kadar pastalamaya devam edin. En az 20 ila 30 dakika bekleyin, ardından kalan ürünü mikrofiber bezle temizleyin ve birkaç saat sertleşmeye bırakın."
_BRAND:menzerna:sealants,Cila (wax) ile koruyucu (sealant) arasındaki fark nedir?,"Cila (polishing wax), yüzeyi mumla mühürler ve temel olarak doğal bileşenlerden üretilir. Araç cilasının maksimum kullanım ömrü üç aydır. Sealant ise araç boyasını sentetik olarak üretilmiş polimerlerle mühürler ve maksimum altı ay kullanım ömrüne sahiptir."
_BRAND:menzerna:sealants,Uygulanmış bir seramik kaplamayı nasıl çıkarırım?,"Seramik kaplama, bir Heavy Cut pasta (örneğin HCC400) ve Heavy Cut Foam Pad ile çıkarılabilir."
_BRAND:menzerna:sealants,Seramik kaplamanın bakımı nasıl yapılır?,"Seramik kaplamanın bakımı, parlaklığı geri kazandıran ve boncuklanma (beading) etkisini daha uzun süre aktif tutan Endless Shine gibi bir detailer ile yapılabilir."
_BRAND:menzerna:sealants,Beading ve sheeting ne anlama gelir?,"Beading, yüzeyin suyu boncuk şeklinde tutabilme özelliğini ifade eder ve araç cilaları ile koruyucular (sealant) ile elde edilebilir.
Sheeting ise, bir sealant'ın yüzeye uygulanarak yüzeyi su itici hale getirmesi ve suyun araçtan anında akması ile birlikte gevşek yüzey kirlerini de beraberinde götürmesi etkisidir."
_BRAND:menzerna:washing,Aracımı neden (elle) yıkamalıyım?,"Elle yıkama sadece boyaya çok nazik olmakla kalmaz, aynı zamanda yıkama çiziklerini önler ve daha iyi / daha hassas yıkama sonuçları elde etmenizi sağlar."
_BRAND:menzerna:washing,Aracımı neden otomatik araç yıkamaya götürmemeliyim?,Otomatik araç yıkamalarda sertleşmiş fırçalar ve kirli şeritler yıkama çiziklerine (swirl) yol açabilir; araç elle doğru şekilde yıkandığında ise bu durum yaşanmaz.
_BRAND:menzerna:washing,Aracımı yıkarken ve kurularken nelere dikkat etmeliyim?,Aracınızı elle yıkarken dış etkenlerden korunan bir yer seçin (sundurma/garaj). Yıkamadan sonra araç mikrofiber bez veya hava tabancası ile kurulanmalıdır. Araç elle dikkatlice yıkandıktan sonra inatçı kirler kil çubuğu (clay bar) ile giderilebilir.
_BRAND:menzerna:washing,Mikrofiber bezlerimin bakımını nasıl doğru yaparım?,"Menzerna mikrofiber bezler, etikette yazılı sıcaklıkta çamaşır makinesinde yıkanabilir. Bakımla ilgili daha fazla bilgiyi ürünün önerilen kullanım bilgilerinde bulabilirsiniz."
_BRAND:menzerna:washing,Pasta öncesi boyayı nasıl temizlerim?,Bir araca pasta yapmadan önce elle yıkanmalıdır. Gerekirse sonrasında özel bir kil (clay) kullanılarak yüzeydeki kirlilikler giderilebilir.
_BRAND:menzerna:washing,Araca kil (clay) nasıl uygulanır?,"Araçlarda kil çubuğu (clay bar) kullanım talimatları:
1. Kili, avuç içi büyüklüğünde bir disk şekline getirin.
2. Çalışılabilir büyüklükte bir boya yüzeyine (yaklaşık 60 × 60 cm) yeterli miktarda Menzerna Endless Shine sıkın.
3. Kili yüzeyde düz hareketlerle gezdirin (dairesel hareketlerden kaçının). Hiç basınç uygulamayın. Kilin boya üzerinde kaymaya devam etmesi için yüzeyde her zaman yeterli miktarda Endless Shine bulunduğundan emin olun. Detailing kili asla kuru kullanmayın.
4. İlk bölüm temizlendiğinde kirlilikleri kilin içine katlayarak yeni bir düz disk oluşturun."
_BRAND:menzerna:washing,Kirlilikleri neden kil (clay) ile çıkarmalıyım?,"Kil çubukları, araç boyasındaki inatçı kirleri gidermek için kullanılabilir. Reçine ve böcek kalıntıları, pasta işlemi sırasında boyaya yapışmasını önlemek için araç yüzeyinden çıkarılmalıdır."
_BRAND:menzerna:washing,Araca kil (clay) uygulamanın ne faydası var?,"Araç boyasındaki yüzey pasları, reçine ve böcek kalıntıları gibi inatçı kirleri giderir. Kil uygulaması, araca çok daha temiz ve pürüzsüz bir yüzey kazandırır."
_BRAND:menzerna:washing,Aracıma ne sıklıkla kil (clay) uygulamalıyım?,Araçlara her yıkamadan sonra kil uygulanabilir.
_BRAND:menzerna:washing,Aracımı kil uygulamasına nasıl hazırlamalıyım?,"Kil ile temizlik yapmadan önce araç elle yıkanmalıdır. İki kovalı yıkama yöntemi, nazik araç yıkaması için idealdir."
_BRAND:menzerna:products,Araç pastası ne kadara mal olur?,"Ürüne ve ülkeye bağlı olarak, her 250 ml'lik Menzerna araç pastası şişesi €10 ile €20 arasında değişmektedir. Ürüne ve ülkeye bağlı olarak bir litre araç pastası €30 ile €50 arasındadır."
_BRAND:menzerna:products,Menzerna pastalarını nereden satın alabilirim?,"Menzerna premium pastaları, hem yerel bayilerde hem de çevrimiçi araç bakım mağazalarında bulunabilir. Size uygun iletişim kişisini hızlıca bayi araması aracılığıyla bulabilirsiniz."
_BRAND:menzerna:storage,Menzerna araç pastalarının raf ömrü nedir?,"Menzerna pastaları, üretim tarihinden itibaren iki yıllık raf ömrüne sahiptir. Raf ömrü ve saklama ile ilgili öneriler pasta etiketlerinde bulunur."
_BRAND:menzerna:storage,Pastaları nasıl saklamalıyım?,Pastalar 5 ile 30°C arasındaki sıcaklıklarda dik olarak saklanmalıdır. Don ve doğrudan güneş ışığından kaçının.
_BRAND:menzerna:products,Menzerna pastaları dolgu maddesi ve silikon içerir mi?,"Pastalarımız yüksek kaliteli pasta minerallerinden üretilir ve silikon veya dolgu maddesi içermez. Menzerna araç pastaları yüzeyi mekanik olarak düzeltir. Çizikler, dolgu maddesi ve silikon ile geçici olarak kapatılmak yerine, boyanın düzeltilmesiyle kalıcı olarak giderilir. Bunun tek istisnası, yüzeyi korumak için silikon gerektiren koruyucularımızdır (Power Lock, Sealing Wax, Liquid Carnauba ve Premium Protection)."
_BRAND:menzerna:products,Neden 250 ml'lik bir pasta şişesi başka bir 250 ml pasta veya finish şişesinden daha az ağırlıkta oluyor?,"Pastanın ağırlığı yoğunluğuna bağlıdır. Heavy Cut pastaları, örneğin Finish pastalarına göre daha yüksek yoğunluğa sahiptir. Bu da 250 ml'lik bir Heavy Cut Pastası'nın, kilogram cinsinden örneğin 250 ml'lik bir Finish pastasından daha ağır olduğu anlamına gelir."
_BRAND:menzerna:products,Menzerna pastaları neden şişenin tepesine kadar doldurulmuyor?,Bir ürün şişesinin ne kadar dolu olduğu ürünün yoğunluğuna bağlıdır. Daha yüksek yoğunluğa sahip pastalar aynı zamanda daha yüksek dolum seviyesine sahiptir. Tüm pastalarımız aynı şişede satıldığı için dolum seviyelerinde farklılıklar olabilir.
