sku,question,answer
_BRAND:gyeon:certified_detailer,Deneme süresinde Certified Detailer kaplamalarını kullanabilir miyim?,"Hayır, bu kaplamalar yalnızca Gyeon Certified Detailer'lara özeldir. Sertifikasyondan sonra ilk günden itibaren satın alabilirsiniz."
_BRAND:gyeon:certified_detailer,Deneme süresi zorunlu mu?,"Evet, zorunlu. Her Gyeon Certified Detailer bu süreçten geçmiştir. Bu, markaya ve ürünlere bağlılığınızı kanıtlamanın yoludur. Uzun vadeli ilişkilere değer veriyor ve bunları sağlam temeller üzerine kurmayı seviyoruz."
_BRAND:gyeon:certified_detailer,Eğitim sunuyor musunuz?,2019'da açılan Gyeon Training Center Europe'da çeşitli eğitim kursları sunuyoruz.
_BRAND:gyeon:certified_detailer,Certified Detailer'lara destek sağlıyor musunuz?,"Evet, elbette. Certified Detailer'larımızın çalışmalarını sosyal medya platformlarımızda paylaşmaktan her zaman mutluluk duyarız. Teknik destek, pazarlama materyalleri, banner ve kapalı bir Certified Detailer forumuna katılım imkanı sunuyoruz."
_BRAND:gyeon:certified_detailer,Gyeon Certified Detailer nasıl olunur?,"Öncelikle en az 2 yıldır kayıtlı ve sigortalı bir işletmesi olan, profesyonel bir detayer olmanız gerekir. Temsil yeteneği olan bir stüdyoda çalışmalı ve kaplama deneyiminiz olmalı. Bu tanım size uyuyorsa lütfen şuraya göz atın ve özel iletişim formunu doldurun: http://gyeonquartz.com/certified-detailer-program/"
_BRAND:gyeon:distribution,Numune veriyor musunuz?,Numune sunmuyoruz. Geçerli bir görüş oluşturabilmek için herkesin tam ürün paketini deneyimlemesi gerektiğine kesinlikle inanıyoruz. Mükemmel bir kullanıcı deneyimi için ambalaj üzerinde kullanım talimatları ve gerekli yasal bilgilerle birlikte mümkün olan en iyi ürünleri sunmaya kararlıyız.
_BRAND:gyeon:distribution,Bayi hesabı açıyor musunuz?,"Web mağazası, fiziksel mağaza veya profesyonel detayer iseniz, bayi hesabı oluşturmak için lütfen yerel distribütörünüzle iletişime geçin."
_BRAND:gyeon:distribution,Doğrudan sizden satın alabilir miyim?,"Hayır. Politikamız yalnızca ülke distribütörleriyle çalışmaktır, bu nedenle doğrudan satış mümkün değildir."
_BRAND:gyeon:distribution,Ülkemde Gyeon ürünleri için bayilik nasıl alınır?,"Lütfen ülke distribütörünüzle iletişime geçin. Yalnızca distribütörlerle çalışıyoruz, doğrudan satış mümkün değildir. Tam listeyi şuradan bulabilirsiniz: www.gyeonquartz.com/distributors-detailers/"
_BRAND:gyeon:distribution,Ülkemde Gyeon distribütörü nasıl olunur?,"Önemli oto bakım üreticileriyle doğrudan iş deneyiminiz varsa ve ülkenizdeki liderlerden biri olduğunuzu hissediyorsanız, lütfen iletişim formumuz üzerinden 'Sales distribution' seçeneğiyle bize mesaj gönderin. İşletmeniz hakkında bilgi ve mevcut distribütörlük deneyiminizi mutlaka paylaşın."
_BRAND:gyeon:distribution,En yakın Gyeon Certified Detailer'ı nerede bulabilirim?,Tüm Gyeon Certified Detailer'ları şurada bulabilirsiniz: http://gyeonquartz.com/distributors-detailers/ Yalnızca web sitemizde listelenen stüdyolar geçerli sertifikaya sahiptir.
_BRAND:gyeon:distribution,Gyeon ürünlerini nereden satın alabilirim?,Tüm bayi ve distribütörlerimizi şurada bulabilirsiniz: http://gyeonquartz.com/distributors-detailers/ Yerel Gyeon Certified Detailer'ınızı da kontrol edebilirsiniz — bazıları temel bakım ürünleri ve aksesuar da bulundurur.
_BRAND:gyeon:brand,Sponsorluk için kiminle konuşabilirim?,Ürünlerimizle ilişkili olabilecek olağanüstü bir şey yapıyorsanız lütfen web sitesindeki iletişim formundan 'general inquiries' seçeneğiyle bize ulaşın.
_BRAND:gyeon:brand,Detayerlere sponsor oluyor musunuz?,"Hayır, maalesef. Detayer veya meraklıysanız ve sponsorluk arıyorsanız lütfen yerel Gyeon distribütörünüzle iletişime geçin."
_BRAND:gyeon:brand,Eğitim sunuyor musunuz?,Şu an için yalnızca distribütörlerimizle birlikte düzenlediğimiz Gyeon Demo Days etkinliklerinde. Yakında Avrupa'daki son teknoloji eğitim tesisimizde profesyonel eğitim sunabileceğiz. Daha fazla bilgi için: http://gyeonquartz.com/article/gyeon-training-center/
_BRAND:gyeon:brand,İş fırsatlarını nereden öğrenebilirim?,"Şu an yeni ekip üyesi aramıyoruz, ancak ihtiyacımız olduğunda iş fırsatları için Facebook ve web sitemizin haberler bölümüne bakmalısınız."
_BRAND:gyeon:brand,Fabrika turu düzenliyor musunuz?,Maalesef şu an için hayır. Fabrikamız müşteri beklentilerini karşılamak ve distribütör siparişlerini en kısa sürede teslim etmek için tam kapasite çalışıyor. Bu nedenle fabrikada tur düzenleyemiyoruz.
_BRAND:gyeon:brand,Gyeon hakkındaki en güncel haberleri nerede bulabilirim?,Web sitemizde: http://gyeonquartz.com/news-facts/ veya günlük güncellenen sosyal medya hesaplarımızda: https://www.facebook.com/gyeonquartzofficial/ veya https://www.instagram.com/gyeon_quartz/
_BRAND:gyeon:brand,Sizinle nerede tanışabilirim?,"Birçok fuara katılır, distribütörlerimizle etkinlikler düzenler ve detailing meraklılarıyla buluşmak için dünyayı dolaşırız. Bizimle tanışmak istiyorsanız sosyal medyamızı takip edin ve duyurularımızı kaçırmayın. Fuarlar potansiyel iş ortaklarıyla buluşmak için en iyi yerdir; distribütörlükle ilgilenenleri orada görmek isteriz."
_BRAND:gyeon:brand,Sizinle nasıl iletişime geçebilirim?,Web sitemizdeki iletişim formunu doldurmanızı şiddetle öneririz. Form burada: www.gyeonquartz.com/contact/
_BRAND:gyeon:brand,Logonuzu çok sevdim — web sitemde veya Facebook'ta kullanabilir miyim?,"Yalnızca web sitemizdeki iletişim formundan bize ulaşır ve onayımızı alırsanız. İsmimiz, logomuz ve tüm grafik tasarımımızın tescilli marka ve telif hakları kapsamında olduğunu unutmayın."
_BRAND:gyeon:brand,Gyeon ne anlama geliyor?,"견고 — 'Gyeon-go', ismimizin kökeni, Korece'de katı, sağlam ve güçlü anlamına gelir. Bu sıfatlar seramik kaplamayı mükemmel şekilde tanımlar; bu yüzden bu ismi seçtik."
_BRAND:gyeon:brand,Gyeon nasıl telaffuz edilir?,Herkesin kendi versiyonu vardır ve ismimizi farklı dillerde duymaktan her zaman memnuniyet duyarız. Bizim kullandığımız ve en yaygın olan İngilizce telaffuzdur.
Q2-QV120M,Bu ürün nedir?,"Q² QuickView, kolay uygulanan ve uzun ömürlü bir yağmur kovucudur."
Q2-W175G,Bu ürün nedir?,"Q² Wax, her renk için dayanıklı, flor bazlı bir wax'tır."
_BRAND:gyeon:q2_general,Bu ürün nedir?,"Q² Flash EVO, Certified Mobile Detailer'lara özel benzersiz bir kaplamadır. Polisilazan bazlı hızlı kürlenen formülü çeşitli koşullarda uygulamaya izin verir."
Q2-PPFE50M,Bu ürün nedir?,"Q² PPF EVO, tüm PPF ve vinil türleri için çok kolay uygulanan, esnek tek kat bir kaplamadır."
Q2-TYA500M,Bu ürün nedir?,"Q² Tire, kuvars bazlı tek lastik sealant'tır."
Q2-LCR500M,Bu ürün nedir?,"Q² LeatherCoat REDEFINED, koruma ve kir itme özelliği sağlayan bir deri sealant'tır."
Q2-LSE50M,Bu ürün nedir?,"Q² LeatherShield EVO, kiri itip rengin solmasını önleyen, sıvılara ve UV ışınlarına karşı koruyan bir seramik deri kaplamasıdır."
Q2-AF120M,Bu ürün nedir?,"Q² AntiFog, iç camlarınızda nem yoğuşmasını önleyen bir kaplamadır."
Q2-FCNA400M,Bu ürün nedir?,"Q² FabricCoat, gelişmiş kuvars bazlı, yüksek hidrofobiklik özelliği olan bir kumaş koruyucudur."
Q2-VE20M,Bu ürün nedir?,"Q² View EVO, dayanıklı ve dirençli bir yağmur kovucudur."
Q2-TRE30M,Bu ürün nedir?,"Q² Trim EVO, her tür plastik üzerinde kullanılmak üzere tasarlanmış, çok güçlü onarım/renk derinleştirme özellikleri olan koruyucu seramik kaplamadır."
Q2-RE30M,Bu ürün nedir?,"Q² Rim EVO, çeşitli jant tiplerini korumak için tasarlanmış bir seramik kaplamadır. Yüksek sıcaklık dayanımı sayesinde egzoz uçları veya fren kaliperleri gibi metal ve krom parçalarda da kullanılabilir."
Q2-PR1000M,Bu ürün nedir?,"Q² Primer, ultra hafif bir bitiş cilası ve aynı zamanda SiO² kaplama öncesi primer'dır."
Q2-BS30M,Bu ürün nedir?,"Q² Booster, yüzey gerilimini değiştiren ve seramik bir alt kaplamanın hidrofobikliğini artıran reaktif, flor bazlı bir üst kattır."
Q2-SLE50M,Bu ürün nedir?,"Q² Syncro EVO, minimum çabayla harika sonuçlar veren sofistike bir 2 aşamalı formüldür. Q² Syncro EVO inanılmaz parlaklık ve su itme özelliği sunar."
Q2-MLE100M,Bu ürün nedir?,"Q² Mohs EVO, profesyoneller ve meraklılar için gelişmiş, fluoro-modifiye polisilazan bazlı, dayanıklı ve su itici bir kaplamadır."
Q2-MTEL50M,Bu ürün nedir?,"Q² Matte EVO, mat boyalı yüzeyler için tasarlanmış bir kaplamadır; aracın boyasının görünümünü değiştirmeden hidrofobiklik ve koruma sağlar."
Q2-PLE50M,Bu ürün nedir?,"Q² Pure EVO, ürün gamımızdaki en yüksek konsantrasyonlu SiO² kaplamasıdır. Tek kat formülde candy gloss ve mükemmel hidrofobiklik sunar."
Q2-OLE100M,Bu ürün nedir?,"Q² One EVO, giriş seviyesi Q² CanCoat EVO'dan daha fazla dayanıklılık ve parlaklık isteyen meraklılar için tek kat bir kaplamadır."
_BRAND:gyeon:q2_general,Bu ürün nedir?,"Q² CanCoat Pro EVO, konsantre bir SiO² kaplamadır. Hem bağımsız bir kaplama hem de yalnızca Gyeon Certified Detailer'lara sunulan Certified kaplama üst katmanıdır."
Q2-CCE200M,Bu ürün nedir?,"Q² CanCoat EVO, SiO² bazlı, dayanıklı ve parlak, çok kolay kullanılan bir kaplamadır."
_BRAND:gyeon:q2_general,Aracımdan kaplama nasıl çıkarılır?,Makine cilalama ile. Bir seramik kaplama tamamen kürlendikten sonra boyalı yüzeylerden çıkarmanın tek yolu kesim pastasıyla mekanik cilalamadır.
_BRAND:gyeon:q2_general,Gyeon kaplamaları taş çentiklerini önler mi?,Hayır — bunu yalnızca kaliteli bir boya koruma filmi (PPF) sağlayabilir.
_BRAND:gyeon:q2_general,Kaplı bir araçta nelerden kaçınmalıyım?,İlk 14 gün boyunca deterjan/kimyasallarla temas. Otomatik araç yıkama kullanımı yasaktır. Aracınız ıslakken güçlü güneş altında bırakmaktan kaçının.
_BRAND:gyeon:q2_general,Kaplama uygulamasından sonra aracımı yıkamak için ne kadar beklemeliyim?,Herhangi bir seramik kaplama uygulamasından sonra aracınızı en az 14 gün yıkamamanızı öneririz.
_BRAND:gyeon:q2_general,Gyeon kaplı bir araç nasıl bakım görür?,"Kaplı aracınızı doğru aletler ve ürünlerle düzenli olarak bakım yaptığınızdan emin olun. Temel bir set; kir ayırıcılı iki kova, pH nötr şampuan, kaliteli yıkama eldiveni ve kurulama havlularını içermelidir. Kayganlığı, hidrofobikliği ve parlaklığı artırmak için periyodik olarak Q²M Cure bakım spreyini kullanmanızı şiddetle öneririz. Bakım rutininize kimyasal dekontaminasyonu da dahil edin. Boyanızda noktasal kontaminasyon hissettiğinizde Q²M Tar ve Q²M Iron ile temizleyin."
_BRAND:gyeon:q2_general,"Boncuklanma kalmadı, kaplama çalışmayı bıraktı mı?","Boncuklanma azaldıysa sebep basit olabilir: yüzey zamanla kontaminasyon (zift, ağaç sakızı, metalik kalıntı) biriktirmiştir. Kaplama hâlâ orada ve aracınızı UV ışınlarına ve kimyasallara karşı koruyor. Kontaminasyonu temizlemek için Q²M Iron ve Q²M Tar ile kimyasal dekontaminasyon yapmanızı, ardından başlangıçtaki itme özelliğini geri kazanmak için Q²M Cure veya Q²M WetCoat kullanmanızı öneririz."
_BRAND:gyeon:q2_general,Kaplama çiziklere karşı dirençli mi?,"Q² serisindeki tüm kuvars kaplamalarımız, kayganlıkları sayesinde kaplı olmayan bir araca kıyasla çiziklere daha yüksek direnç gösterir. Ancak aracınızı çiziğe dayanıklı yapmazlar; otomatik araç yıkamaları, fırçalar, hatalı bakım veya herhangi bir vandalizmden kaynaklanan svirl izlerinden korumazlar."
_BRAND:gyeon:q2_general,"Quartz kaplama, glass kaplama ve seramik kaplama arasındaki fark nedir?","'Quartz', 'glass' ve 'ceramic' aynı tip ürün için kullanılan eş anlamlı terimlerdir — SiO² (silika dioksit) kaplamalar. Sahte pazarlamayla yanılmayın."
_BRAND:gyeon:q2_general,Kuvars kaplama ile wax arasındaki fark nedir?,"Wax, sınırlı bir süre çalışmak üzere tasarlanmış bir katmandır; boyayla kalıcı veya yarı kalıcı bir bağ kurmaz. Karnauba wax, balmumu veya sentetik PET-C ile polimer bazlı malzemelerin organik ve inorganik karışımıdır. Parlaklık ve itme özelliği katar ama düşük kimyasal direnci nedeniyle birkaç yıkamadan sonra solar. Seramik kaplama ise solventlerle birlikte sıvı halde gelen, solvent buharlaştığında kristalleşip yüzeyde katı bir tabaka oluşturan Silika veya Polysilazan karışımıdır. Bu tabaka yüksek kimyasal direnç gösterir ve bir kez kürlendiğinde yüzeyden ancak mekanik cilalama ile çıkarılabilir."
_BRAND:gyeon:q2_general,Kendim uygulayabilir miyim?,"Evet — kaplamalarımızın çoğu kullanıcı dostu olarak tasarlanmıştır. Her set, sizi adım adım yönlendiren bir kullanım kılavuzu içerir."
_BRAND:gyeon:q2_general,Quartz kaplama nedir?,"Aracınızın herhangi bir yüzeyinde kristalleştiğinde oluşan, katı, şeffaf, kaygan ve yüksek self-cleaning özelliğine sahip silika bazlı koruyucu bir tabakadır."
Q2-QV120M,Nereye uygulanır?,"Bu kaplama, aracınızın dış cam parçaları için tasarlanmıştır."
Q2-W175G,Nasıl uygulanır?,Maksimum performans için yüzeyi yıkayıp düzgünce yağdan arındırın. Kuru boya üzerine ince ve homojen bir kat uygulayın. Silmeden önce en az 30 dakika kürlenmeye bırakın. Bu iş için Q²M PolishWipe EVO kullanmanızı öneririz.
_BRAND:gyeon:q2_general,Nasıl uygulanır?,Uygulama yalnızca Mobile Certified Detailer tarafından yapılabilir.
Q2-PPFE50M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeonquartz.com/wp-content/uploads/2022/01/paint-coatings-manual.pdf
Q2-TYA500M,Nereye uygulanır?,Tüm lastik tiplerinde.
Q2-LCR500M,Nereye uygulanır?,Bu kaplama aracınızın iç deri döşemesi için tasarlanmıştır; ayrıca marin deride de kullanılabilir.
Q2-LSE50M,Nereye uygulanır?,Derinin temiz ve kuru olduğundan emin olun. Birlikte gelen aplikatörü kullanın ve her seferinde tek panele küçük miktarda ürün sürün. Kurumaya bırakın. Uygulamadan 15 dakika sonra eşit bir bitiş olduğundan emin olun. Gerekirse tekrar uygulayın.
Q2-AF120M,Nereye uygulanır?,Bu kaplama aracınızın iç cam parçaları için tasarlanmıştır.
Q2-FCNA400M,Nereye uygulanır?,"Bu kaplama, açılır soft top'lar ve Alcantara dahil aracınızdaki her tür kumaş için tasarlanmıştır."
Q2-VE20M,Nereye uygulanır?,Bu kaplama aracınızın dış cam parçaları için tasarlanmıştır.
Q2-TRE30M,Nereye uygulanır?,Bu kaplama aracınızın dış plastik trimleri (Far dahil) için tasarlanmıştır.
Q2-RE30M,Nereye uygulanır?,Bu kaplama aracınızın jantları/metal/krom/egzoz uçları/kaliperleri için tasarlanmıştır.
Q2-PR1000M,Nereye uygulanır?,"Bu primer, kaplama uygulamasından önce aracınızın tüm boyalı, parlak yüzeyleri için tasarlanmıştır."
Q2-BS30M,Nereye uygulanır?,Bu kaplama aracınızın tüm boyalı yüzeyleri için tasarlanmıştır.
Q2-SLE50M,Q² Skin EVO nedir? Ne işe yarar?,"Q² Skin EVO, ekstrem parlaklık ve mükemmel su itme özelliği sağlamak üzere tasarlanmış SiO² bazlı bir üst kattır."
Q2-MLE100M,Nereye uygulanır?,Bu kaplama aracınızın tüm boyalı yüzeyleri için tasarlanmıştır.
Q2-MTEL50M,Nereye uygulanır?,Bu kaplama aracınızın tüm boyalı yüzeyleri için tasarlanmıştır.
Q2-PLE50M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeonquartz.com/wp-content/uploads/2022/01/paint-coatings-manual.pdf
Q2-OLE100M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeonquartz.com/wp-content/uploads/2022/01/paint-coatings-manual.pdf
_BRAND:gyeon:q2_general,Nasıl uygulanır?,"Birlikte gelen mikrofiber bezin üzerine Q² CanCoat Pro EVO sıkın, küçük bir alanı tam parlaklık elde edene kadar silin. Bezin yüzünü değiştirin ve kusursuz bir bitiş için yüzeye son bir silim daha yapın."
Q2-CCE200M,Nasıl uygulanır?,"Birlikte gelen mikrofiber bezin üzerine Q² CanCoat EVO sıkın, küçük bir alanı tam parlaklık elde edene kadar silin. Bezin yüzünü değiştirin ve kusursuz bir bitiş için yüzeye son bir silim daha yapın."
Q2-QV120M,Nasıl uygulanır?,"Lütfen ürün üzerindeki talimatlara veya şu bağlantıya bakın:
https://youtu.be/iO6oH4cMNdg"
Q2-W175G,Ne kadar dayanır?,Q² Wax 4-6 ay arası dayanır.
_BRAND:gyeon:q2_general,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama gerekir. Daha fazla tavsiye için Gyeon Certified Detailer'ınızla iletişime geçin.
Q2-PPFE50M,Nereye uygulanır?,Bu kaplama PPF veya vinil ile korunan tüm yüzeyler için tasarlanmıştır — parlak veya mat/stealth.
Q2-TYA500M,Nasıl uygulanır?,Tercih ettiğiniz aplikatöre bir pompa ürün sıkın (Q²M MF Applicator kullanabilirsiniz). Ürünü lastiğin yan duvarına sürün. Yalnızca kuru ve düzgünce hazırlanmış lastiklerde kullanın. Optimum yüzey hazırlığı için Q²M TireCleaner kullanmanızı öneririz.
Q2-LCR500M,Nasıl uygulanır?,Derinin temiz ve kuru olduğundan emin olun. Q²M MF Applicator kullanarak her seferinde tek panele küçük miktarda ürün sürün. Kurumaya bırakın. Tam mat bir bitiş istiyorsanız 10-15 dakika sonra silin.
Q2-LSE50M,Nasıl uygulanır?,"Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın:

https://gyeon.co/wp-content/uploads/2025/02/2023interiorcoatingsmanual.pdf"
Q2-AF120M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: http://gyeonquartz.com/wp-content/uploads/2016/10/all-suface-manual.pdf
Q2-FCNA400M,Nasıl uygulanır?,Q² FabricCoat'u yalnızca temiz ve tamamen kuru bir yüzeye uygulayın. Zor çıkan overspray'i önlemek için çevredeki elemanları maskeleyin. Ürünü her zaman Q²M LeatherBrush ile silerek eşit bir bitiş oluşturun ve emilimi destekleyin. Aşırı dozdan kaçının. 1 kalın kat yerine 2 ince kat uygulamanızı öneririz.
Q2-VE20M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeon.co/wpcontent/uploads/2025/02/2023exteriorcoatingsmanual.pdf
Q2-TRE30M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeon.co/wpcontent/uploads/2025/02/2023exteriorcoatingsmanual.pdf
Q2-RE30M,Nasıl uygulanır?,"Önce jantın temiz, kuru ve yağ/kirden arınmış olduğundan emin olun.

Kaplamayı uygulamadan önce Q²M Prep kullanmanızı öneririz.

Birlikte gelen aplikatöre ve süet beze bolca Q² Rim EVO sürün. Uygulamadan hemen sonra silin. Sürmeden önce kaplamanın en az 12 saat kürlenmesini bekleyin."
Q2-PR1000M,Nasıl uygulanır?,Bir polisaj makinesi ve Q²M Finish ped ile uygulanır.
Q2-BS30M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: http://gyeonquartz.com/wp-content/uploads/2018/01/paint-coating-manual-1.pdf
Q2-SLE50M,Nereye uygulanır?,Bu kaplama aracınızın tüm boyalı yüzeyleri için tasarlanmıştır.
Q2-MLE100M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeonquartz.com/wp-content/uploads/2022/01/paint-coatings-manual.pdf
Q2-MTEL50M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeonquartz.com/wp-content/uploads/2022/01/paint-coatings-manual.pdf
Q2-PLE50M,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama gerekir.
Q2-OLE100M,Ne kadar dayanır?,Q² One EVO 24 ay / 25.000 km'ye kadar dayanır.
_BRAND:gyeon:q2_general,Birden fazla kat uygulayabilir miyim?,Evet.
Q2-CCE200M,Ne kadar dayanır?,Q² CanCoat EVO 12 ay / 12.000 km'ye kadar dayanır.
Q2-QV120M,Birden fazla kat uygulayabilir miyim?,Evet — ancak dayanıklılığını uzatmaz.
Q2-W175G,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama ya da Q²M APC 1:1 gibi güçlü kimyasalların birden fazla kez kullanımı gerekir.
_BRAND:gyeon:q2_general,"Boncuklanma kayboldu, ne yapmalıyım?",Tam bir bakım yıkamasından sonra Q²M Iron ve Q²M Tar ile yüzey dekontaminasyonu yapın. Başlangıçtaki itme özelliğini geri kazanmak için Q²M Cure veya Q²M WetCoat kullanın.
Q2-PPFE50M,Ne kadar dayanır?,Q² PPF EVO 12 aya kadar dayanır.
Q2-TYA500M,Birden fazla kat uygulayabilir miyim?,Evet.
Q2-LCR500M,Birden fazla kat uygulayabilir miyim?,Evet.
Q2-LSE50M,Birden fazla kat uygulayabilir miyim?,Evet.
Q2-AF120M,Birden fazla kat uygulayabilir miyim?,Hayır.
Q2-FCNA400M,Birden fazla kat uygulayabilir miyim?,Evet.
Q2-VE20M,Ne kadar dayanır?,Q² View EVO 24 ay / 50.000 km'ye kadar dayanır.
Q2-TRE30M,Birden fazla kat uygulayabilir miyim?,Evet.
Q2-RE30M,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama gerekir.
Q2-PR1000M,Doğru uygulanmazsa zarar verir mi?,"Hayır, polisaj makinesi kullanımının temel kurallarına dikkat edin."
Q2-BS30M,Birden fazla kat uygulayabilir miyim?,Hayır.
Q2-SLE50M,Nasıl uygulanır?,Lütfen ürünle birlikte gelen kullanım kılavuzuna ya da şu bağlantıya bakın: https://gyeonquartz.com/wp-content/uploads/2022/01/paint-coatings-manual.pdf
Q2-MLE100M,Ne kadar dayanır?,"Q² Mohs EVO tek katta 36 ay / 40.000 km, iki katta 48 ay / 50.000 km dayanır."
Q2-MTEL50M,Birden fazla kat uygulayabilir miyim?,Evet.
Q2-PLE50M,Ne kadar dayanır?,Q² Pure EVO 36 ay / 40.000 km'ye kadar dayanır.
Q2-OLE100M,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama gerekir.
_BRAND:gyeon:q2_general,Wax üzerine uygulayabilir miyim?,"Hayır, her seramik kaplama uygulamadan önce mükemmel yüzey hazırlığı ve yağ alma gerektirir."
Q2-CCE200M,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama gerekir.
Q2-QV120M,Ne kadar dayanır?,Q² QuickView 6 ay / 30.000 km'ye kadar dayanır.
Q2-W175G,Birden fazla kat uygulayabilir miyim?,Evet.
_BRAND:gyeon:q2_general,Bu ürünle kaplı bir araç nasıl bakım görür?,"Normal yıkama rutininizde Q²M Bathe+ ve Q²M WetCoat kullanmanızı öneririz. Kaplama, pH 2 ile 11 arası kimyasallara dirençli olarak tasarlanmıştır. Daha fazla tavsiye için Certified Detailer'ınızla iletişime geçin."
Q2-PPFE50M,Birden fazla kat uygulayabilir miyim?,"Evet, ancak gerekli değildir."
Q2-TYA500M,Çıkarılabilir mi?,"Evet, Q²M TireCleaner kullanarak."
Q2-LCR500M,Çıkarılabilir mi?,Evet. Yüzeyi özel deri temizleyici ile birden çok kez temizlemek Q² LeatherCoat REDEFINED'i azaltır.
Q2-LSE50M,Ne kadar dayanır?,Q² LeatherShield EVO 18 ay / 30.000 km'ye kadar dayanır.
Q2-AF120M,Ne kadar dayanır?,Q² AntiFog 2 aya kadar dayanır.
Q2-FCNA400M,Ne kadar dayanır?,Q² FabricCoat 6 aya kadar dayanır.
Q2-VE20M,Ürünün kuruması/kürlenmesi ne kadar sürer?,"Ürün uygulamadan sonra atmosferik etkilere maruz kalmadan en az 12 saat, deterjanlı yıkama yapılmadan da 14 gün daha bekletilmelidir."
Q2-TRE30M,Ne kadar dayanır?,Q² Trim EVO 36 ay / 50.000 km'ye kadar dayanır.
Q2-RE30M,Birden fazla kat uygulayabilir miyim?,Evet — katlar arasında 1 saat bekleyin.
