target_sku,section_name,category_name,question_tr,answer_tr,question_en,answer_en,url,article_id
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Deneme süresi zorunlu mu?,"Evet, zorunlu. Her Gyeon Certified Detailer bu süreçten geçmiştir. Bu, markaya ve ürünlere bağlılığınızı kanıtlamanın yoludur. Uzun vadeli ilişkilere değer veriyor ve bunları sağlam temeller üzerine kurmayı seviyoruz.",Is the probationary period obligatory?,"Yes, it is. Every single Gyeon Certified Detailer has been through it. This is our way to prove your commitment towards the brand and products. We value long term relationships and like to build them on solid foundations.",https://gyeon.zendesk.com/hc/en-us/articles/360000892477-Is-the-probationary-period-obligatory,360000892477
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Eğitim sunuyor musunuz?,2019'da açılan Gyeon Training Center Europe'da çeşitli eğitim kursları sunuyoruz.,Do you offer trainings?,We will offer various training courses in our Gyeon Training Center Europe once launched in 2019.,https://gyeon.zendesk.com/hc/en-us/articles/360000892437-Do-you-offer-trainings,360000892437
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Certified Detailer'lara destek sağlıyor musunuz?,"Evet, elbette. Certified Detailer'larımızın çalışmalarını sosyal medya platformlarımızda paylaşmaktan her zaman mutluluk duyarız. Teknik destek, pazarlama materyalleri, banner ve kapalı bir Certified Detailer forumuna katılım imkanı sunuyoruz.",Do you offer support to Certified Detailers?,"Yes, of course. We are always happy to share our Certified Detailers work on our social media platforms. We provide technical support, marketing materials, banners and the opportunity to participate in a closed Certified Detailer forum.",https://gyeon.zendesk.com/hc/en-us/articles/360000892417-Do-you-offer-support-to-Certified-Detailers,360000892417
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Gyeon Certified Detailer nasıl olunur?,"Öncelikle en az 2 yıldır kayıtlı ve sigortalı bir işletmesi olan, profesyonel bir detayer olmanız gerekir. Temsil yeteneği olan bir stüdyoda çalışmalı ve kaplama deneyiminiz olmalı. Bu tanım size uyuyorsa lütfen şuraya göz atın ve özel iletişim formunu doldurun: http://gyeonquartz.com/certified-detailer-program/",How to become a Gyeon Certified Detailer?,"Most of all, you need to be a detailing professional with a registered and insured business for at least 2 years. located in a representative studio and have experience with coatings. If this description suits you, please visit: http://gyeonquartz.com/certified-detailer-program/ to learn more and submit the special contact form.",https://gyeon.zendesk.com/hc/en-us/articles/360000892377-How-to-become-a-Gyeon-Certified-Detailer,360000892377
_BRAND:gyeon:distribution,Sales & Distribution Questions,General Brand Questions,Numune veriyor musunuz?,Numune sunmuyoruz. Geçerli bir görüş oluşturabilmek için herkesin tam ürün paketini deneyimlemesi gerektiğine kesinlikle inanıyoruz. Mükemmel bir kullanıcı deneyimi için ambalaj üzerinde kullanım talimatları ve gerekli yasal bilgilerle birlikte mümkün olan en iyi ürünleri sunmaya kararlıyız.,Do you offer samples?,We do not offer samples. We strongly believe that everybody needs to experience a full package of product to have a valid opinion. We are determined to provide best possible products with directions of use and all necessary legal information on the package for great user experience.,https://gyeon.zendesk.com/hc/en-us/articles/360000891917-Do-you-offer-samples,360000891917
_BRAND:gyeon:distribution,Sales & Distribution Questions,General Brand Questions,Bayi hesabı açıyor musunuz?,"Web mağazası, fiziksel mağaza veya profesyonel detayer iseniz, bayi hesabı oluşturmak için lütfen yerel distribütörünüzle iletişime geçin.",Do you run trade accounts?,"If you are a web shop, walk-in store or professional detailer, please reach out to your local distributor to set up a trade account.",https://gyeon.zendesk.com/hc/en-us/articles/360000891877-Do-you-run-trade-accounts,360000891877
_BRAND:gyeon:distribution,Sales & Distribution Questions,General Brand Questions,Doğrudan sizden satın alabilir miyim?,"Hayır. Politikamız yalnızca ülke distribütörleriyle çalışmaktır, bu nedenle doğrudan satış mümkün değildir.",Can I buy directly from you?,"No. Our policy is to deal only and exclusively with country distributors, so no direct sale is possible.",https://gyeon.zendesk.com/hc/en-us/articles/360000898998-Can-I-buy-directly-from-you,360000898998
_BRAND:gyeon:distribution,Sales & Distribution Questions,General Brand Questions,Ülkemde Gyeon ürünleri için bayilik nasıl alınır?,"Lütfen ülke distribütörünüzle iletişime geçin. Yalnızca distribütörlerle çalışıyoruz, doğrudan satış mümkün değildir. Tam listeyi şuradan bulabilirsiniz: www.gyeonquartz.com/distributors-detailers/",How to become a reseller for Gyeon products in my country?,"Please contact your country distributor. We deal only and exclusively with distributors, so no direct sales are possible. You will find a full list here: www.gyeonquartz.com/distributors-detailers/",https://gyeon.zendesk.com/hc/en-us/articles/360000891837-How-to-become-a-reseller-for-Gyeon-products-in-my-country,360000891837
_BRAND:gyeon:distribution,Sales & Distribution Questions,General Brand Questions,Ülkemde Gyeon distribütörü nasıl olunur?,"Önemli oto bakım üreticileriyle doğrudan iş deneyiminiz varsa ve ülkenizdeki liderlerden biri olduğunuzu hissediyorsanız, lütfen iletişim formumuz üzerinden 'Sales distribution' seçeneğiyle bize mesaj gönderin. İşletmeniz hakkında bilgi ve mevcut distribütörlük deneyiminizi mutlaka paylaşın.",How to become a Distributor for Gyeon in my country?,"If you have experience in direct business with major car care manufacturers and feel you are one of the leaders in your country, please send us a message via our contact form choosing Sales distribution as the reason of contact. Please include information about your business and don't forget to share your current distribution experience.",https://gyeon.zendesk.com/hc/en-us/articles/360000891817-How-to-become-a-Distributor-for-Gyeon-in-my-country,360000891817
_BRAND:gyeon:distribution,Sales & Distribution Questions,General Brand Questions,En yakın Gyeon Certified Detailer'ı nerede bulabilirim?,Tüm Gyeon Certified Detailer'ları şurada bulabilirsiniz: http://gyeonquartz.com/distributors-detailers/ Yalnızca web sitemizde listelenen stüdyolar geçerli sertifikaya sahiptir.,Where can I find my closest Gyeon Certified Detailer? ,You can find all Gyeon Certified Detailers here: http://gyeonquartz.com/distributors-detailers/ Only a studio listed on our website has a valid certification.,https://gyeon.zendesk.com/hc/en-us/articles/360000898958-Where-can-I-find-my-closest-Gyeon-Certified-Detailer,360000898958
_BRAND:gyeon:distribution,Sales & Distribution Questions,General Brand Questions,Gyeon ürünlerini nereden satın alabilirim?,Tüm bayi ve distribütörlerimizi şurada bulabilirsiniz: http://gyeonquartz.com/distributors-detailers/ Yerel Gyeon Certified Detailer'ınızı da kontrol edebilirsiniz — bazıları temel bakım ürünleri ve aksesuar da bulundurur.,Where can I buy Gyeon products ?,You can find all our resellers & distributors here: http://gyeonquartz.com/distributors-detailers/ You may also check with your local Gyeon Certified Detailer - some carry basic maintenance products and accessories as well.,https://gyeon.zendesk.com/hc/en-us/articles/360000891597-Where-can-I-buy-Gyeon-products,360000891597
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Sponsorluk için kiminle konuşabilirim?,Ürünlerimizle ilişkili olabilecek olağanüstü bir şey yapıyorsanız lütfen web sitesindeki iletişim formundan 'general inquiries' seçeneğiyle bize ulaşın.,Who can I speak to about sponsorship?,If you do anything extraordinary that could be related to our products - please contact us via the contact form on the website and choose general inquiries.,https://gyeon.zendesk.com/hc/en-us/articles/360000891577-Who-can-I-speak-to-about-sponsorship,360000891577
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Detayerlere sponsor oluyor musunuz?,"Hayır, maalesef. Detayer veya meraklıysanız ve sponsorluk arıyorsanız lütfen yerel Gyeon distribütörünüzle iletişime geçin.",Do you sponsor detailers?,"No, unfortunately not. If you are a detailer or enthusiast and look for sponsorship, please contact your local Gyeon Distributor.",https://gyeon.zendesk.com/hc/en-us/articles/360000898898-Do-you-sponsor-detailers,360000898898
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Eğitim sunuyor musunuz?,Şu an için yalnızca distribütörlerimizle birlikte düzenlediğimiz Gyeon Demo Days etkinliklerinde. Yakında Avrupa'daki son teknoloji eğitim tesisimizde profesyonel eğitim sunabileceğiz. Daha fazla bilgi için: http://gyeonquartz.com/article/gyeon-training-center/,Do you offer trainings?,As for today - only during our Gyeon Demo Days with distributors. Soon we will be able to offer professional training in our state of the art training facility in Europe. Visit http://gyeonquartz.com/article/gyeon-training-center/ for more info!,https://gyeon.zendesk.com/hc/en-us/articles/360000898878-Do-you-offer-trainings,360000898878
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,İş fırsatlarını nereden öğrenebilirim?,"Şu an yeni ekip üyesi aramıyoruz, ancak ihtiyacımız olduğunda iş fırsatları için Facebook ve web sitemizin haberler bölümüne bakmalısınız.",Where do I find out about job opportunities?,"Currently, we are not looking for any new team members, but if we eventually do, Facebook and the news section of our website is the place to look for job opportunities!",https://gyeon.zendesk.com/hc/en-us/articles/360000891557-Where-do-I-find-out-about-job-opportunities,360000891557
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Fabrika turu düzenliyor musunuz?,Maalesef şu an için hayır. Fabrikamız müşteri beklentilerini karşılamak ve distribütör siparişlerini en kısa sürede teslim etmek için tam kapasite çalışıyor. Bu nedenle fabrikada tur düzenleyemiyoruz.,Do you organise factory tours?,"Unfortunately, not at the moment. Our factory is working at high speed to meet customer expectations and deliver distributor orders as soon as possible. For this reason, we are not able to guide tours in the factory.",https://gyeon.zendesk.com/hc/en-us/articles/360000891497-Do-you-organise-factory-tours,360000891497
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Gyeon hakkındaki en güncel haberleri nerede bulabilirim?,Web sitemizde: http://gyeonquartz.com/news-facts/ veya günlük güncellenen sosyal medya hesaplarımızda: https://www.facebook.com/gyeonquartzofficial/ veya https://www.instagram.com/gyeon_quartz/,Where can I find the latest news about Gyeon?,On our website: http://gyeonquartz.com/news-facts/ or on our daily updated social media platforms: https://www.facebook.com/gyeonquartzofficial/ or https://www.instagram.com/gyeon_quartz/,https://gyeon.zendesk.com/hc/en-us/articles/360000898798-Where-can-I-find-the-latest-news-about-Gyeon,360000898798
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Sizinle nerede tanışabilirim?,"Birçok fuara katılır, distribütörlerimizle etkinlikler düzenler ve detailing meraklılarıyla buluşmak için dünyayı dolaşırız. Bizimle tanışmak istiyorsanız sosyal medyamızı takip edin ve duyurularımızı kaçırmayın. Fuarlar potansiyel iş ortaklarıyla buluşmak için en iyi yerdir; distribütörlükle ilgilenenleri orada görmek isteriz.",Where can I meet you?,"We exhibit at multiple trade shows, visit or co-organize events with our distributors and travel the world to meet detailing enthusiasts. If you want to meet us - follow our social media channels and look out for announcements. Trade shows are the best venue to meet potential business partners and all interested in distribution are welcome to visit us there.",https://gyeon.zendesk.com/hc/en-us/articles/360000898778-Where-can-I-meet-you,360000898778
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Sizinle nasıl iletişime geçebilirim?,Web sitemizdeki iletişim formunu doldurmanızı şiddetle öneririz. Form burada: www.gyeonquartz.com/contact/,How can I contact you?,We highly recommend to fill out the contact form on our website. You will find it here: www.gyeonquartz.com/contact/,https://gyeon.zendesk.com/hc/en-us/articles/360000891357-How-can-I-contact-you,360000891357
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Logonuzu çok sevdim — web sitemde veya Facebook'ta kullanabilir miyim?,"Yalnızca web sitemizdeki iletişim formundan bize ulaşır ve onayımızı alırsanız. İsmimiz, logomuz ve tüm grafik tasarımımızın tescilli marka ve telif hakları kapsamında olduğunu unutmayın.",I really like your logo - may I use it on my website or facebook?,"Only if you get in touch with us via the contact form on our website and we approve. Please mind, that our name, logo and all graphic design related are a registered trademark and subject of copyrights.",https://gyeon.zendesk.com/hc/en-us/articles/360000891317-I-really-like-your-logo-may-I-use-it-on-my-website-or-facebook,360000891317
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Gyeon ne anlama geliyor?,"견고 — 'Gyeon-go', ismimizin kökeni, Korece'de katı, sağlam ve güçlü anlamına gelir. Bu sıfatlar seramik kaplamayı mükemmel şekilde tanımlar; bu yüzden bu ismi seçtik.",What does Gyeon mean?,"견고 - Gyeon-go, where the name Gyeon is derivate from, means in Korean solid, firm and strong. These adjectives describe ceramic coatings perfectly and this is why we decided to choose this name.",https://gyeon.zendesk.com/hc/en-us/articles/360000898638-What-does-Gyeon-mean,360000898638
_BRAND:gyeon:brand,Brand Questions,General Brand Questions,Gyeon nasıl telaffuz edilir?,Herkesin kendi versiyonu vardır ve ismimizi farklı dillerde duymaktan her zaman memnuniyet duyarız. Bizim kullandığımız ve en yaygın olan İngilizce telaffuzdur.,How do you pronounce Gyeon?,Everyone has its own version and we are always happy to hear our name in different languages. The one that we use and which is most common is the English-speaker pronunciation.,https://gyeon.zendesk.com/hc/en-us/articles/360000898618-How-do-you-pronounce-Gyeon,360000898618
Q2-QV120M,Q² QuickView,Q² Collection,Bu ürün nedir?,"Q² QuickView, kolay uygulanan ve uzun ömürlü bir yağmur kovucudur.",What is it?,Q² QuickView is an easy to apply and durably rain repellent.,https://gyeon.zendesk.com/hc/en-us/articles/360015822578-What-is-it,360015822578
Q2-W175G,Q² Wax,Q² Collection,Bu ürün nedir?,"Q² Wax, her renk için dayanıklı, flor bazlı bir wax'tır.",What is it?,Q² Wax is durable a fluorine based wax for any colour type.,https://gyeon.zendesk.com/hc/en-us/articles/360015195257-What-is-it,360015195257
_BRAND:gyeon:q2_general,Q² Flash EVO,Q² Collection,Bu ürün nedir?,"Q² Flash EVO, Certified Mobile Detailer'lara özel benzersiz bir kaplamadır. Polisilazan bazlı hızlı kürlenen formülü çeşitli koşullarda uygulamaya izin verir.",What is it ?,"Q² Flash EVO, unique dedicated coating for Certified Mobile Detailer. Its polysilazane fast curing formula allows application under various conditions.",https://gyeon.zendesk.com/hc/en-us/articles/360003985678-What-is-it,360003985678
Q2-PPFE50M,Q² PPF EVO,Q² Collection,Bu ürün nedir?,"Q² PPF EVO, tüm PPF ve vinil türleri için çok kolay uygulanan, esnek tek kat bir kaplamadır.",What is it?,Q² PPF EVO is a very easy to apply flexible one layer coating for all types of PPF and vinyl.,https://gyeon.zendesk.com/hc/en-us/articles/360003974278-What-is-it,360003974278
Q2-TYA500M,Q² Tire,Q² Collection,Bu ürün nedir?,"Q² Tire, kuvars bazlı tek lastik sealant'tır.",What is it ?,Q² Tire is the only quartz-based tire sealant,https://gyeon.zendesk.com/hc/en-us/articles/360000941838-What-is-it,360000941838
Q2-LCR500M,Q² LeatherCoat REDEFINED,Q² Collection,Bu ürün nedir?,"Q² LeatherCoat REDEFINED, koruma ve kir itme özelliği sağlayan bir deri sealant'tır.",What is it ?,Q² LeatherCoat REDEFINED is a leather sealant providing protection and dirt repellency.,https://gyeon.zendesk.com/hc/en-us/articles/360000941718-What-is-it,360000941718
Q2-LSE50M,Q² LeatherShield EVO,Q² Collection,Bu ürün nedir?,"Q² LeatherShield EVO, kiri itip rengin solmasını önleyen, sıvılara ve UV ışınlarına karşı koruyan bir seramik deri kaplamasıdır.",What is it ?,"Q² LeatherShield EVO is a ceramic leather coating designed to repel dirt and prevent discolouration, protect against liquids and UV rays.",https://gyeon.zendesk.com/hc/en-us/articles/360000932317-What-is-it,360000932317
Q2-AF120M,Q² AntiFog,Q² Collection,Bu ürün nedir?,"Q² AntiFog, iç camlarınızda nem yoğuşmasını önleyen bir kaplamadır.",What is it ?,Q² Antifog is a coating preventing moisture condensation on your interior glass.,https://gyeon.zendesk.com/hc/en-us/articles/360000932097-What-is-it,360000932097
Q2-FCNA400M,Q² FabricCoat,Q² Collection,Bu ürün nedir?,"Q² FabricCoat, gelişmiş kuvars bazlı, yüksek hidrofobiklik özelliği olan bir kumaş koruyucudur.",What is it ?,"Q² Fabric Coat is an advanced quartz-based, highly hydrophobic fabric protectant.",https://gyeon.zendesk.com/hc/en-us/articles/360000931597-What-is-it,360000931597
Q2-VE20M,Q² View EVO,Q² Collection,Bu ürün nedir?,"Q² View EVO, dayanıklı ve dirençli bir yağmur kovucudur.",What is it ?,Q² View EVO is a durable and resistant rain repellent.,https://gyeon.zendesk.com/hc/en-us/articles/360000931217-What-is-it,360000931217
Q2-TRE30M,Q² Trim EVO,Q² Collection,Bu ürün nedir?,"Q² Trim EVO, her tür plastik üzerinde kullanılmak üzere tasarlanmış, çok güçlü onarım/renk derinleştirme özellikleri olan koruyucu seramik kaplamadır.",What is it ?,Q² Trim EVO is a protective ceramic coating with very strong restorative/colour enhancement qualities designed to be used on all sorts of plastic.,https://gyeon.zendesk.com/hc/en-us/articles/360000932698-What-is-it,360000932698
Q2-RE30M,Q² Rim EVO,Q² Collection,Bu ürün nedir?,"Q² Rim EVO, çeşitli jant tiplerini korumak için tasarlanmış bir seramik kaplamadır. Yüksek sıcaklık dayanımı sayesinde egzoz uçları veya fren kaliperleri gibi metal ve krom parçalarda da kullanılabilir.",What is it ?,Q² Rim EVO is a ceramic coating designed to protect various types of wheels. It can be used as well on metal & chrome parts such as exhaust tips or brake callipers thanks to its high-temperature resistance.,https://gyeon.zendesk.com/hc/en-us/articles/360000922417-What-is-it,360000922417
Q2-PR1000M,Q² Primer,Q² Collection,Bu ürün nedir?,"Q² Primer, ultra hafif bir bitiş cilası ve aynı zamanda SiO² kaplama öncesi primer'dır.",What is it ?,Q² Primer is an ultra-light finishing polish as well as a SiO₂ pre-coating primer.,https://gyeon.zendesk.com/hc/en-us/articles/360000922197-What-is-it,360000922197
Q2-BS30M,Q² Booster,Q² Collection,Bu ürün nedir?,"Q² Booster, yüzey gerilimini değiştiren ve seramik bir alt kaplamanın hidrofobikliğini artıran reaktif, flor bazlı bir üst kattır.",What is it ?,"Q² Booster is a reactive, fluorine-based top coat that changes the surface tension and increases hydrophobicity of a ceramic base coating.",https://gyeon.zendesk.com/hc/en-us/articles/360000913357-What-is-it,360000913357
Q2-SLE50M,Q² Syncro EVO,Q² Collection,Bu ürün nedir?,"Q² Syncro EVO, minimum çabayla harika sonuçlar veren sofistike bir 2 aşamalı formüldür. Q² Syncro EVO inanılmaz parlaklık ve su itme özelliği sunar.",What is it ?,Q² Syncro EVO is a sophisticated 2-stage formula delivering great results with minimum effort. Q² Syncro EVO offers incredible gloss and repellency.,https://gyeon.zendesk.com/hc/en-us/articles/360000911297-What-is-it,360000911297
Q2-MLE100M,Q² Mohs EVO,Q² Collection,Bu ürün nedir?,"Q² Mohs EVO, profesyoneller ve meraklılar için gelişmiş, fluoro-modifiye polisilazan bazlı, dayanıklı ve su itici bir kaplamadır.",What is it ?,"Q² Mohs EVO is an advanced, fluoro-modified polisilazanes coating, durable and water repellent coating for professionals and enthusiasts.",https://gyeon.zendesk.com/hc/en-us/articles/360000900037-What-is-it,360000900037
Q2-MTEL50M,Q² Matte EVO,Q² Collection,Bu ürün nedir?,"Q² Matte EVO, mat boyalı yüzeyler için tasarlanmış bir kaplamadır; aracın boyasının görünümünü değiştirmeden hidrofobiklik ve koruma sağlar.",What is it ?,Q² Matte EVO is a coating designed for matte paintwork providing hydrophobicity & protection without altering the finish of your car's paint.,https://gyeon.zendesk.com/hc/en-us/articles/360000899457-What-is-it,360000899457
Q2-PLE50M,Q² Pure EVO,Q² Collection,Bu ürün nedir?,"Q² Pure EVO, ürün gamımızdaki en yüksek konsantrasyonlu SiO² kaplamasıdır. Tek kat formülde candy gloss ve mükemmel hidrofobiklik sunar.",What is it ?,Q² Pure EVO is the highest concentrated SiO₂ coating in the range. It delivers candy gloss and great hydrophobicity in a single layer formula.,https://gyeon.zendesk.com/hc/en-us/articles/360000903498-What-is-it,360000903498
Q2-OLE100M,Q² One EVO,Q² Collection,Bu ürün nedir?,"Q² One EVO, giriş seviyesi Q² CanCoat EVO'dan daha fazla dayanıklılık ve parlaklık isteyen meraklılar için tek kat bir kaplamadır.",What is it ?,Q² One EVO is a one layer coating for enthusiasts who want more durability & gloss than the entry level Q² CanCoat EVO.,https://gyeon.zendesk.com/hc/en-us/articles/360000895037-What-is-it,360000895037
_BRAND:gyeon:q2_general,Q² CanCoat Pro EVO,Q² Collection,Bu ürün nedir?,"Q² CanCoat Pro EVO, konsantre bir SiO² kaplamadır. Hem bağımsız bir kaplama hem de yalnızca Gyeon Certified Detailer'lara sunulan Certified kaplama üst katmanıdır.",What is it ?,Q² CanCoat Pro EVO is a concentrated SiO2 coating. It's both a standalone coating as well as a Certified coating top up available only for Gyeon Certified Detailers.,https://gyeon.zendesk.com/hc/en-us/articles/360000894177-What-is-it,360000894177
Q2-CCE200M,Q² CanCoat EVO,Q² Collection,Bu ürün nedir?,"Q² CanCoat EVO, SiO² bazlı, dayanıklı ve parlak, çok kolay kullanılan bir kaplamadır.",What is it ?,"Q² CanCoat EVO is a SiO2 based coating, a durable and glossy product very easy to use.",https://gyeon.zendesk.com/hc/en-us/articles/360000893757-What-is-it,360000893757
_BRAND:gyeon:q2_general,General Product Question,Q² Collection,Aracımdan kaplama nasıl çıkarılır?,Makine cilalama ile. Bir seramik kaplama tamamen kürlendikten sonra boyalı yüzeylerden çıkarmanın tek yolu kesim pastasıyla mekanik cilalamadır.,How to remove a coating from my car ?,"By machine polishing. Once a ceramic coating fully cures, the only way to remove it from painted surfaces it mechanical polishing with a cutting compound.",https://gyeon.zendesk.com/hc/en-us/articles/360000901418-How-to-remove-a-coating-from-my-car,360000901418
_BRAND:gyeon:q2_general,General Product Question,Q² Collection,Gyeon kaplamaları taş çentiklerini önler mi?,Hayır — bunu yalnızca kaliteli bir boya koruma filmi (PPF) sağlayabilir.,Will Gyeon coatings prevent stone chips ?,No - Only a quality paint protection film will.,https://gyeon.zendesk.com/hc/en-us/articles/360000893677-Will-Gyeon-coatings-prevent-stone-chips,360000893677
_BRAND:gyeon:q2_general,General Product Question,Q² Collection,Kaplı bir araçta nelerden kaçınmalıyım?,İlk 14 gün boyunca deterjan/kimyasallarla temas. Otomatik araç yıkama kullanımı yasaktır. Aracınız ıslakken güçlü güneş altında bırakmaktan kaçının.,What should I avoid with a coated car ?,Contact with detergents/chemicals during the first 14 days. Any use of automatic car washes is forbidden. Avoid exposing your vehicle to strong sun operation once wet.,https://gyeon.zendesk.com/hc/en-us/articles/360000901278-What-should-I-avoid-with-a-coated-car,360000901278
