target_sku,section_name,category_name,question_en,answer_en,url,article_id
Q2M-LCN1000M,Q²M LeatherCleaner Natural,Q²M Collection,How to apply ?,Spray liberally over a small section of your leather - Brush the product onto your leather surface with help of Q²M LeatherBrush - when the whole surface is covered remove the excess of product with a microfibre - asses result - re-apply if necessary,https://gyeon.zendesk.com/hc/en-us/articles/360000945578-How-to-apply,360000945578
Q2M-LCSYA1000M,Q²M LeatherCleaner Strong,Q²M Collection,How to apply ?,Spray liberally over a small section of your leather - Brush the product onto your leather surface with the help of Q²M LeatherBrush - when the whole surface is covered remove the excess of product with a microfibre - asses result - re-apply if necessary,https://gyeon.zendesk.com/hc/en-us/articles/360000943418-How-to-apply,360000943418
Q2M-TEYA1000M,Q²M Tire Express,Q²M Collection,How to apply ?,Dispose of one pump of product onto the applicator of your choice (you may use our Q²M MF Applicator). Rub the product over the surface of the side wall of your tire. Possible use on both wet and dry tires. Ensure optimal surface preparation with the use of Q²M TireCleaner.,https://gyeon.zendesk.com/hc/en-us/articles/360000934057-How-to-apply,360000934057
Q2M-TCYA1000M,Q²M Tire Cleaner,Q²M Collection,How to apply ?,"Spray liberally over the rubber sidewall of your tire, let it react for a brief moment & agitate - let it react and rinse off. Do not let it dry - Do not apply on hot surfaces - On dirty tires we recommend a dry application.",https://gyeon.zendesk.com/hc/en-us/articles/360000933857-How-to-apply,360000933857
Q2M-PPR1000M,Q²M PPF Renew,Q²M Collection,How to apply ?,We recommend applying Q²M PPF Renew with the use of eccentric polisher and Q²M Eccentric Finish Pad. Use a small amount of product and work at a low speed.,https://gyeon.zendesk.com/hc/en-us/articles/360000942198-How-to-apply,360000942198
Q2M-GP250M,Q²M GlassPolish,Q²M Collection,Rotary or DA?,Both can be used.,https://gyeon.zendesk.com/hc/en-us/articles/18582186095644-Rotary-or-DA,18582186095644
_BRAND:gyeon:q2m_general,Q²M DeFrost,Q²M Collection,Can I use Q²M DeFrost as winter screenwash?,No.,https://gyeon.zendesk.com/hc/en-us/articles/18581367260572-Can-I-use-Q-M-DeFrost-as-winter-screenwash,18581367260572
Q2M-GPYA1000M,Q²M Glass+,Q²M Collection,Do I need to agitate the solution?,This solution requires swiping motion with aid of a microfibre.,https://gyeon.zendesk.com/hc/en-us/articles/18579518608412-Do-I-need-to-agitate-the-solution,18579518608412
Q2M-EW1000M,Q²M ECOWash,Q²M Collection,Can I mix Q²M ECOWash with my shampoo?,"No, Q²M ECOWash must be used as standalone product.",https://gyeon.zendesk.com/hc/en-us/articles/18565735656604-Can-I-mix-Q-M-ECOWash-with-my-shampoo,18565735656604
Q2M-TOTR1000M,Q²M TotalRemover,Q²M Collection,Will Q²M TotalRemover will damage/alter my paint work?,"No, it's safe for all painted surfaces.",https://gyeon.zendesk.com/hc/en-us/articles/18564492935580-Will-Q-M-TotalRemover-will-damage-alter-my-paint-work,18564492935580
Q2M-CDYA1000M,Q²M CeramicDetailer,Q²M Collection,Can I apply multiple layers?,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/18563965019036-Can-I-apply-multiple-layers,18563965019036
Q2M-FCNA1000M,Q²M FabricCleaner,Q²M Collection,Do I need to agitate the solution ?,This solution requires swiping motion with aid of a microfibre or a brush.,https://gyeon.zendesk.com/hc/en-us/articles/5743883311889-Do-I-need-to-agitate-the-solution,5743883311889
Q2M-APYA4000M,Q²M APC,Q²M Collection,Do I need to agitate the solution ?,"Yes, you can.",https://gyeon.zendesk.com/hc/en-us/articles/5743111956625-Do-I-need-to-agitate-the-solution,5743111956625
Q2M-IWCR4000M,Q²M Iron WheelCleaner REDEFINED,Q²M Collection,Do I need to agitate the solution ?,"This solution doesn't require agitation, however, it can be done.",https://gyeon.zendesk.com/hc/en-us/articles/5742177894673-Do-I-need-to-agitate-the-solution,5742177894673
Q2M-RWYA1000M,Q²M RestartWash,Q²M Collection,Do I need to agitate the solution?,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/5741177647505-Do-I-need-to-agitate-the-solution,5741177647505
Q2M-PPFW500M,Q²M PPF Wash,Q²M Collection,Do I need to agitate the solution?,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/360004018577-Do-I-need-to-agitate-the-solution,360004018577
Q2M-PPFMR500M,Q²M PPF Maintain REDEFINED,Q²M Collection,How long it last?,Q²M PPF Maintain REDEFINED last up to 6 weeks.,https://gyeon.zendesk.com/hc/en-us/articles/360003986218-How-long-it-last,360003986218
Q2M-TWYA500M,Q²M TowelWash,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000983277-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000983277
Q2M-PRYA250M,Q²M Preserve,Q²M Collection,Do I need to agitate the solution ?,This solution requires swiping motion with aid of a microfibre or Q²M MF applicator,https://gyeon.zendesk.com/hc/en-us/articles/360000983237-Do-I-need-to-agitate-the-solution,360000983237
_BRAND:gyeon:q2m_general,Q²M Glass,Q²M Collection,Do I need to agitate the solution ?,This solution requires swiping motion with aid of a microfibre,https://gyeon.zendesk.com/hc/en-us/articles/360000982977-Do-I-need-to-agitate-the-solution,360000982977
Q2M-CRYA250M,Q²M Cure REDEFINED,Q²M Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000991918-Can-I-apply-multiple-layers,360000991918
Q2M-CMR500M,Q²M Cure Matte REDEFINED,Q²M Collection,How long it last ?,Q²M Cure Matte REDEFINED last up to 6 weeks.,https://gyeon.zendesk.com/hc/en-us/articles/360000991598-How-long-it-last,360000991598
_BRAND:gyeon:q2m_general,Q²M WetCoat Essence,Q²M Collection,Do I need to agitate the solution ?,"No, it's an only spray and rinse formula.",https://gyeon.zendesk.com/hc/en-us/articles/360000991378-Do-I-need-to-agitate-the-solution,360000991378
Q2M-WCYA4000M,Q²M WetCoat,Q²M Collection,Do I need to agitate the solution ?,"No, it's an only spray and rinse formula.",https://gyeon.zendesk.com/hc/en-us/articles/360000991278-Do-I-need-to-agitate-the-solution,360000991278
Q2M-PO1000M,Q²M Polish,Q²M Collection,Rotary or DA ?,Can be used with both types of polishers.,https://gyeon.zendesk.com/hc/en-us/articles/360000981597-Rotary-or-DA,360000981597
Q2M-CM1000M,Q²M Compound,Q²M Collection,Rotary or DA ?,Can be used with both types of polishers.,https://gyeon.zendesk.com/hc/en-us/articles/360000990938-Rotary-or-DA,360000990938
Q2M-CMPR1000M,Q²M Compound+ REDEFINED,Q²M Collection,Rotary or DA ?,Can be used with both types of polishers.,https://gyeon.zendesk.com/hc/en-us/articles/360000979977-Rotary-or-DA,360000979977
Q2M-PYA4000M,Q²M Prep,Q²M Collection,Do I need to agitate the solution ?,This solution requires swiping motion with aid of a microfibre,https://gyeon.zendesk.com/hc/en-us/articles/360000962197-Do-I-need-to-agitate-the-solution,360000962197
Q2M-BPYA1000M,Q²M Bathe+,Q²M Collection,Do I need to agitate the solution ?,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000961937-Do-I-need-to-agitate-the-solution,360000961937
Q2M-BYA4000M,Q²M Bathe,Q²M Collection,Do I need to agitate the solution ?,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000961477-Do-I-need-to-agitate-the-solution,360000961477
Q2M-TR4000M,Q²M Tar REDEFINED,Q²M Collection,Do I need to agitate the solution ?,This solution can require swiping motion with aid of a microfibre,https://gyeon.zendesk.com/hc/en-us/articles/360000961317-Do-I-need-to-agitate-the-solution,360000961317
Q2M-IR4000M,Q²M Iron REDEFINED,Q²M Collection,Do I need to agitate the solution ?,"This solution doesn't require agitation, however, it can be done.",https://gyeon.zendesk.com/hc/en-us/articles/360000961157-Do-I-need-to-agitate-the-solution,360000961157
Q2M-CLR500M,Q²M ClayLube REDEFINED,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000972238-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000972238
_BRAND:gyeon:q2m_general,Q²M ClayBars,Q²M Collection,I’m obliged to use Q²M Claylube ?,We recommend the use of lubricant.,https://gyeon.zendesk.com/hc/en-us/articles/360000960817-I-m-obliged-to-use-Q-M-Claylube,360000960817
Q2M-WSYA1000M,Q²M WaterSpot,Q²M Collection,Do I need to agitate the solution ?,This solution can require swiping motion with aid of a microfibre,https://gyeon.zendesk.com/hc/en-us/articles/360000971798-Do-I-need-to-agitate-the-solution,360000971798
Q2M-BGYA1000M,Q²M Bug & Grime,Q²M Collection,Do I need to agitate the solution ?,"This solution doesn't require agitation, however deep incrusted grime can require re-application.",https://gyeon.zendesk.com/hc/en-us/articles/360000971738-Do-I-need-to-agitate-the-solution,360000971738
Q2M-FYA4000M,Q²M Foam,Q²M Collection,After rinsing Q²M Foam my car is still dirty - Why ?,This solution is designed to break down loosen dirt making the washing process safer.,https://gyeon.zendesk.com/hc/en-us/articles/360000959717-After-rinsing-Q-M-Foam-my-car-is-still-dirty-Why,360000959717
Q2M-QDYA1000M,Q²M QuickDetailer,Q²M Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000971458-Can-I-apply-multiple-layers,360000971458
_BRAND:gyeon:q2m_general,Q²M MetalPolish,Q²M Collection,Will it damage if not apply properly ?,"As a mechanical process is involved, you should be aware of how to use a polishing machine correctly before application.",https://gyeon.zendesk.com/hc/en-us/articles/360000971298-Will-it-damage-if-not-apply-properly,360000971298
Q2M-LCN1000M,Q²M LeatherCleaner Natural,Q²M Collection,Will it damage my interior if not apply properly ?,No - please refer to the instruction manual.,https://gyeon.zendesk.com/hc/en-us/articles/360000945798-Will-it-damage-my-interior-if-not-apply-properly,360000945798
Q2M-LCSYA1000M,Q²M LeatherCleaner Strong,Q²M Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000945438-Can-I-apply-multiple-layers,360000945438
Q2M-TEYA1000M,Q²M Tire Express,Q²M Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000934137-Can-I-apply-multiple-layers,360000934137
Q2M-TCYA1000M,Q²M Tire Cleaner,Q²M Collection,Will it damage my wheels ?,"No. To avoid streaks or stains, never use the product on hot wheels.",https://gyeon.zendesk.com/hc/en-us/articles/360000934017-Will-it-damage-my-wheels,360000934017
Q2M-PPR1000M,Q²M PPF Renew,Q²M Collection,What pad should I use ?,We recommend the use of Q²M Eccentric Finish Pad.,https://gyeon.zendesk.com/hc/en-us/articles/360000933717-What-pad-should-I-use,360000933717
_BRAND:gyeon:q2m_general,Q²M DeFrost,Q²M Collection,Can I apply Q²M DeFrost directly on snow and ice under?,"Yes, Q²M DeFrost it won't cause any damage.",https://gyeon.zendesk.com/hc/en-us/articles/18581245585948-Can-I-apply-Q-M-DeFrost-directly-on-snow-and-ice-under,18581245585948
Q2M-GPYA1000M,Q²M Glass+,Q²M Collection,Q²M Glass+ left streaks - Why?,The use of too much Q²M Glass+ will result in streaks.,https://gyeon.zendesk.com/hc/en-us/articles/18579531750684-Q-M-Glass-left-streaks-Why,18579531750684
_BRAND:gyeon:q2m_general,Q²M Scents,Q²M Collection,How long will it last?,One spray on the floor mat or the included hanger will last for over a week.,https://gyeon.zendesk.com/hc/en-us/articles/18566524990876-How-long-will-it-last,18566524990876
Q2M-EW1000M,Q²M ECOWash,Q²M Collection,Do I need to agitate the solution?,"Yes.

For Waterless wash: dilute 1:15/1:10

For Rinseless dilute 1:256/1:150

For Drying Aid: dilute 1:20",https://gyeon.zendesk.com/hc/en-us/articles/18565739075100-Do-I-need-to-agitate-the-solution,18565739075100
Q2M-TOTR1000M,Q²M TotalRemover,Q²M Collection,Do I need to agitate the solution?,"Yes. Work the product with a dedicated mitt, such as the Q²M SilkMitt EVO. Allow it to sit for 30 seconds before rinsing off the panel.",https://gyeon.zendesk.com/hc/en-us/articles/18564812313628-Do-I-need-to-agitate-the-solution,18564812313628
Q2M-CDYA1000M,Q²M CeramicDetailer,Q²M Collection,Will it damage if not apply properly?,No.,https://gyeon.zendesk.com/hc/en-us/articles/18564000893724-Will-it-damage-if-not-apply-properly,18564000893724
Q2M-FCNA1000M,Q²M FabricCleaner,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/5743822457873-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,5743822457873
Q2M-APYA4000M,Q²M APC,Q²M Collection,Will Q²M APC damage/alter my paint or coating ?,It can if used with too much concentration and/or left to dry.,https://gyeon.zendesk.com/hc/en-us/articles/5743088672145-Will-Q-M-APC-damage-alter-my-paint-or-coating,5743088672145
Q2M-IWCR4000M,Q²M Iron WheelCleaner REDEFINED,Q²M Collection,Can I mix Q²M Iron WheelCleaner REDEFINED with my shampoo ?,No.,https://gyeon.zendesk.com/hc/en-us/articles/5741669725841-Can-I-mix-Q-M-Iron-WheelCleaner-REDEFINED-with-my-shampoo,5741669725841
Q2M-RWYA1000M,Q²M RestartWash,Q²M Collection,Will Q²M RestartWash will damage/alter my paintwork or coating?,No.,https://gyeon.zendesk.com/hc/en-us/articles/5741156525969-Will-Q-M-RestartWash-will-damage-alter-my-paintwork-or-coating,5741156525969
Q2M-PPFW500M,Q²M PPF Wash,Q²M Collection,Will Q²M PPF Wash will damage/alter my paintwork or coating?,No,https://gyeon.zendesk.com/hc/en-us/articles/360003986738-Will-Q-M-PPF-Wash-will-damage-alter-my-paintwork-or-coating,360003986738
Q2M-PPFMR500M,Q²M PPF Maintain REDEFINED,Q²M Collection,Can I apply multiple layers?,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/360003986278-Can-I-apply-multiple-layers,360003986278
Q2M-PRYA250M,Q²M Preserve,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000992458-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000992458
_BRAND:gyeon:q2m_general,Q²M Glass,Q²M Collection,Q²M Glass left streaks - Why ?,The use of too much product will result in streaks,https://gyeon.zendesk.com/hc/en-us/articles/360000992198-Q-M-Glass-left-streaks-Why,360000992198
Q2M-CRYA250M,Q²M Cure REDEFINED,Q²M Collection,Can I top it off with additional coating ?,No,https://gyeon.zendesk.com/hc/en-us/articles/360000991938-Can-I-top-it-off-with-additional-coating,360000991938
Q2M-CMR500M,Q²M Cure Matte REDEFINED,Q²M Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000982277-Can-I-apply-multiple-layers,360000982277
_BRAND:gyeon:q2m_general,Q²M WetCoat Essence,Q²M Collection,Will Q²M Wetcoat Essence damage/alter my paint or coating ?,"No, although, left to dry or applied on hot surface my left streaks/high spots.",https://gyeon.zendesk.com/hc/en-us/articles/360000991358-Will-Q-M-Wetcoat-Essence-damage-alter-my-paint-or-coating,360000991358
Q2M-WCYA4000M,Q²M WetCoat,Q²M Collection,Will Q²M WetCoat damage/alter my paint work or coating ?,"No, although, left to dry or applied on hot surface my left streaks/high spots.",https://gyeon.zendesk.com/hc/en-us/articles/360000981717-Will-Q-M-WetCoat-damage-alter-my-paint-work-or-coating,360000981717
Q2M-PO1000M,Q²M Polish,Q²M Collection,What pad combination to use with ?,We recommend the use of Q²M Polish,https://gyeon.zendesk.com/hc/en-us/articles/360000981577-What-pad-combination-to-use-with,360000981577
Q2M-CM1000M,Q²M Compound,Q²M Collection,What pad combination to use with ?,We recommend the use of Q²M Cut.,https://gyeon.zendesk.com/hc/en-us/articles/360000990898-What-pad-combination-to-use-with,360000990898
Q2M-CMPR1000M,Q²M Compound+ REDEFINED,Q²M Collection,What pad combination to use with ?,We recommend the use of Q²M HeavyCut,https://gyeon.zendesk.com/hc/en-us/articles/360000979957-What-pad-combination-to-use-with,360000979957
Q2M-PYA4000M,Q²M Prep,Q²M Collection,Q²M Prep left streaks - Why ?,You might have used too much product - re-apply small amount and wipe out,https://gyeon.zendesk.com/hc/en-us/articles/360000962217-Q-M-Prep-left-streaks-Why,360000962217
Q2M-BPYA1000M,Q²M Bathe+,Q²M Collection,Will Q²M Bathe+ will damage/alter my paint work or coating ?,No,https://gyeon.zendesk.com/hc/en-us/articles/360000961917-Will-Q-M-Bathe-will-damage-alter-my-paint-work-or-coating,360000961917
Q2M-BYA4000M,Q²M Bathe,Q²M Collection,Will Q²M Bathe will damage/alter my paint work or coating ?,No,https://gyeon.zendesk.com/hc/en-us/articles/360000961457-Will-Q-M-Bathe-will-damage-alter-my-paint-work-or-coating,360000961457
Q2M-TR4000M,Q²M Tar REDEFINED,Q²M Collection,Can I mix Q²M Tar REDEFINED with my shampoo ?,No,https://gyeon.zendesk.com/hc/en-us/articles/360000972358-Can-I-mix-Q-M-Tar-REDEFINED-with-my-shampoo,360000972358
Q2M-IR4000M,Q²M Iron REDEFINED,Q²M Collection,Can I mix Q²M Iron REDEFINED with my shampoo ?,No.,https://gyeon.zendesk.com/hc/en-us/articles/360000972318-Can-I-mix-Q-M-Iron-REDEFINED-with-my-shampoo,360000972318
_BRAND:gyeon:q2m_general,Q²M ClayBars,Q²M Collection,Will Q²M ClayBars will damage/alter my paint work or coating ?,This product will leave slight marring.,https://gyeon.zendesk.com/hc/en-us/articles/360000972098-Will-Q-M-ClayBars-will-damage-alter-my-paint-work-or-coating,360000972098
Q2M-WSYA1000M,Q²M WaterSpot,Q²M Collection,Will Q²M WaterSpot will damage/alter my paint work or coating ?,"This solution is bodywork safe - however, it can damage certain coating.",https://gyeon.zendesk.com/hc/en-us/articles/360000959917-Will-Q-M-WaterSpot-will-damage-alter-my-paint-work-or-coating,360000959917
Q2M-BGYA1000M,Q²M Bug & Grime,Q²M Collection,Can I mix Q²M Bug&Grime with my shampoo ?,No,https://gyeon.zendesk.com/hc/en-us/articles/360000959797-Can-I-mix-Q-M-Bug-Grime-with-my-shampoo,360000959797
Q2M-FYA4000M,Q²M Foam,Q²M Collection,Will Q²M Foam will damage/alter my paint work or coating ?,No.,https://gyeon.zendesk.com/hc/en-us/articles/360000959697-Will-Q-M-Foam-will-damage-alter-my-paint-work-or-coating,360000959697
Q2M-QDYA1000M,Q²M QuickDetailer,Q²M Collection,Will it damage if not apply properly ?,No,https://gyeon.zendesk.com/hc/en-us/articles/360000971518-Will-it-damage-if-not-apply-properly,360000971518
_BRAND:gyeon:q2m_general,Q²M MetalPolish,Q²M Collection,Can I top it off with additional coating ?,"Yes, we recommend the use of Q² Rim.",https://gyeon.zendesk.com/hc/en-us/articles/360000971238-Can-I-top-it-off-with-additional-coating,360000971238
Q2M-LCN1000M,Q²M LeatherCleaner Natural,Q²M Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000945718-Can-I-apply-multiple-layers,360000945718
Q2M-LCSYA1000M,Q²M LeatherCleaner Strong,Q²M Collection,How long the product needs to dry ?,Once applied make sure to remove any residue from the cleaner. No drying time required.,https://gyeon.zendesk.com/hc/en-us/articles/360000936517-How-long-the-product-needs-to-dry,360000936517
Q2M-TEYA1000M,Q²M Tire Express,Q²M Collection,How long does it last ?,Q²M TireExpress last at least 2 washes,https://gyeon.zendesk.com/hc/en-us/articles/360000934097-How-long-does-it-last,360000934097
Q2M-TCYA1000M,Q²M Tire Cleaner,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000942438-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000942438
Q2M-PPR1000M,Q²M PPF Renew,Q²M Collection,Rotary or DA ?,We recommend the use of an eccentric/dual-action polisher.,https://gyeon.zendesk.com/hc/en-us/articles/360000933777-Rotary-or-DA,360000933777
Q2M-PPFSL4000M,Q²M PPF Slip,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/18583770569756-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,18583770569756
PPF-L500M,Q²M PPF Lift,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/18583126898844-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,18583126898844
Q2M-GP250M,Q²M GlassPolish,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/18582080913692-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,18582080913692
_BRAND:gyeon:q2m_general,Q²M DeFrost,Q²M Collection,Can I use Q²M DeFrost on glass that is not part of a car?,We recommend applying Q²M DeFrost to every glass surface of your vehicle.,https://gyeon.zendesk.com/hc/en-us/articles/18581339700508-Can-I-use-Q-M-DeFrost-on-glass-that-is-not-part-of-a-car,18581339700508
Q2M-GPYA1000M,Q²M Glass+,Q²M Collection,Will Q²M Glass+ will damage/alter my paint work or coating?,Q²M Glass+ will remove Q² AntiFog.,https://gyeon.zendesk.com/hc/en-us/articles/18579514490524-Will-Q-M-Glass-will-damage-alter-my-paint-work-or-coating,18579514490524
Q2M-EW1000M,Q²M ECOWash,Q²M Collection,Will Q²M ECOWash will damage/alter my paint work or coating?,No.,https://gyeon.zendesk.com/hc/en-us/articles/18565686602268-Will-Q-M-ECOWash-will-damage-alter-my-paint-work-or-coating,18565686602268
Q2M-TOTR1000M,Q²M TotalRemover,Q²M Collection,Can I mix Q²M TotalRemover with my shampoo?,No.,https://gyeon.zendesk.com/hc/en-us/articles/18564547262364-Can-I-mix-Q-M-TotalRemover-with-my-shampoo,18564547262364
Q2M-APYA4000M,Q²M APC,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/5742812676113-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,5742812676113
Q2M-IWCR4000M,Q²M Iron WheelCleaner REDEFINED,Q²M Collection,I sprayed Q²M Iron WheelCleaner REDEFINED but I don’t see purple colour - Why ?,If there is no metal contamination present on your vehicle the solution will not react and turn purple.,https://gyeon.zendesk.com/hc/en-us/articles/5742578780945-I-sprayed-Q-M-Iron-WheelCleaner-REDEFINED-but-I-don-t-see-purple-colour-Why,5742578780945
Q2M-RWYA1000M,Q²M RestartWash,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/5741123972497-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,5741123972497
Q2M-PPFW500M,Q²M PPF Wash,Q²M Collection,How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360004018537-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360004018537
